iter	Passed	Remaining
0	1	247
1	2	231
2	3	234
3	4	227
4	5	219
5	6	212
6	7	207
7	8	206
8	9	203
9	10	201
10	11	199
11	12	196
12	13	193
13	14	192
14	15	190
15	16	189
16	17	188
17	18	185
18	19	183
19	20	182
20	21	180
21	22	178
22	22	176
23	23	175
24	24	173
25	25	172
26	26	171
27	27	169
28	28	168
29	29	166
30	30	164
31	31	163
32	32	162
33	32	160
34	33	158
35	34	157
36	35	155
37	36	154
38	37	153
39	38	152
40	38	150
41	39	149
42	40	149
43	41	148
44	42	147
45	43	146
46	44	145
47	45	143
48	46	142
49	47	141
50	48	140
51	48	139
52	49	137
53	50	136
54	51	135
55	52	134
56	53	133
57	54	132
58	55	131
59	55	130
60	56	129
61	57	128
62	58	127
63	59	126
64	60	125
65	61	124
66	62	123
67	63	122
68	64	121
69	64	120
70	65	119
71	66	118
72	67	117
73	68	116
74	69	115
75	70	114
76	71	113
77	72	112
78	72	111
79	73	110
80	74	109
81	75	108
82	76	108
83	77	107
84	78	106
85	79	105
86	80	104
87	81	103
88	82	102
89	82	101
90	83	100
91	84	99
92	85	98
93	86	97
94	87	96
95	88	95
96	89	94
97	90	94
98	91	93
99	92	92
100	93	91
101	93	90
102	94	89
103	95	88
104	96	87
105	97	86
106	98	85
107	99	84
108	99	83
109	100	82
110	101	81
111	102	80
112	103	79
113	104	78
114	105	77
115	106	76
116	107	76
117	108	75
118	109	74
119	110	73
120	110	72
121	111	71
122	112	70
123	113	69
124	114	68
125	115	67
126	116	66
127	117	65
128	117	64
129	118	63
130	119	63
131	120	62
132	121	61
133	122	60
134	123	59
135	124	58
136	124	57
137	125	56
138	126	55
139	127	54
140	128	53
141	129	52
142	130	51
143	130	50
144	131	49
145	132	49
146	133	48
147	134	47
148	135	46
149	136	45
150	137	44
151	138	43
152	139	42
153	139	41
154	140	40
155	141	39
156	142	39
157	143	38
158	144	37
159	145	36
160	146	35
161	146	34
162	147	33
163	148	32
164	149	31
165	150	30
166	151	29
167	152	28
168	153	28
169	153	27
170	154	26
171	155	25
172	156	24
173	157	23
174	158	22
175	159	21
176	160	20
177	161	19
178	161	19
179	162	18
180	163	17
181	164	16
182	165	15
183	166	14
184	167	13
185	168	12
186	169	11
187	170	10
188	171	9
189	171	9
190	172	8
191	173	7
192	174	6
193	175	5
194	176	4
195	177	3
196	178	2
197	179	1
198	180	0
199	181	0
