timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
98,20,1,0,3,1,2,2,3,1,3,117,0,3,2,1,3,1,0,1,0,0,0,0,0
116,20,3,0,1,1,1,2,2,1,1,112,1,1,1,1,1,2,0,0,0,0,0,0,0
135,19,3,0,1,3,2,1,3,3,2,95,0,2,2,2,2,3,0,0,0,0,0,0,1
128,22,3,1,3,2,1,1,1,3,2,119,1,1,1,3,3,1,0,0,0,0,0,1,0
99,17,3,1,2,2,1,3,3,3,2,148,1,2,3,1,2,1,0,0,1,0,0,0,0
96,18,1,0,3,3,3,1,3,1,2,109,1,2,1,3,3,2,0,0,0,0,0,1,0
112,11,2,1,1,1,2,3,3,1,2,127,0,2,3,2,2,1,1,0,0,0,0,0,0
111,13,3,1,3,3,3,2,2,3,2,122,0,2,2,2,1,2,0,0,0,1,0,0,0
100,20,1,1,1,1,3,3,3,1,2,120,0,3,3,2,1,1,0,1,0,0,0,0,0
154,20,3,0,3,2,1,1,1,3,1,97,0,3,3,1,2,1,1,0,0,0,0,0,0
108,20,3,0,3,2,2,3,3,2,3,128,1,2,3,3,3,2,1,0,0,0,0,0,0
92,20,2,1,1,1,1,3,2,1,3,137,0,3,3,3,3,2,0,0,0,1,0,0,0
92,17,3,0,3,2,2,2,1,2,3,105,0,3,1,1,1,1,0,0,0,0,0,0,1
126,19,1,0,2,1,3,2,3,2,3,139,1,1,3,2,1,1,0,0,0,0,0,0,1
119,10,1,0,1,2,2,3,1,3,3,93,0,1,2,1,2,3,0,0,0,0,1,0,0
111,13,1,1,3,1,1,3,3,2,2,141,0,2,2,1,2,1,1,0,0,0,0,0,0
118,17,1,1,1,1,2,1,3,3,3,110,0,1,2,2,1,2,0,0,1,0,0,0,0
124,21,3,0,1,2,1,1,2,1,2,128,1,2,1,3,2,2,1,0,0,0,0,0,0
92,20,1,0,2,2,3,1,2,2,2,128,1,3,3,3,2,1,0,1,0,0,0,0,0
