timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock,EvaluationChoreographyStoryTelling,EvaluationChoreographyRhythm,EvaluationChoreographyMovementTechnique,EvaluationPublicInvolvement,EvaluationChoreographySpace,EvaluationChoreographyHumanCharacterization,EvaluationHumanReproducibility
140,20,2,0,2,1,1,2,1,1,2,120,0,1,2,1,2,2,0,1,0,0,0,0,0,2,2,2,1,2,2,3
115,21,2,0,3,1,2,3,2,2,3,120,0,1,3,2,3,2,0,1,0,0,0,0,0,3,3,3,3,3,3,2
110,20,2,0,3,2,2,3,2,2,3,120,0,1,3,2,3,2,0,1,0,0,0,0,0,1,1,1,1,1,1,1
100,19,1,0,1,1,1,1,1,1,2,128,0,1,2,1,2,1,1,0,0,0,0,0,0,1,2,2,2,2,2,2
125,20,3,0,3,2,2,3,3,2,3,128,0,2,3,2,3,2,1,0,0,0,0,0,0,1,1,1,1,1,1,3
108,20,3,0,3,2,2,3,3,2,3,128,1,2,3,3,3,2,1,0,0,0,0,0,0,1,2,1,1,2,1,3
140,20,2,0,2,1,1,2,1,1,2,120,0,1,2,1,2,2,0,1,0,0,0,0,0,1,1,1,1,2,1,4
115,21,2,0,3,1,2,3,2,2,3,120,0,1,3,2,3,2,0,1,0,0,0,0,0,2,3,4,2,3,4,4
110,20,2,0,3,2,2,3,2,2,3,120,0,1,3,2,3,2,0,1,0,0,0,0,0,2,4,3,3,3,4,5
100,19,1,0,1,1,1,1,1,1,2,128,0,1,2,1,2,1,1,0,0,0,0,0,0,4,4,4,4,4,5,5
125,20,3,0,3,2,2,3,3,2,3,128,0,2,3,2,3,2,1,0,0,0,0,0,0,3,3,3,1,4,4,5
108,20,3,0,3,2,2,3,3,2,3,128,1,2,3,3,3,2,1,0,0,0,0,0,0,4,4,4,4,4,5,5
140,20,2,0,2,1,1,2,1,1,2,120,0,1,2,1,2,2,0,1,0,0,0,0,0,4,4,3,3,2,3,3
115,21,2,0,3,1,2,3,2,2,3,120,0,1,3,2,3,2,0,1,0,0,0,0,0,4,4,4,4,3,4,3
110,20,2,0,3,2,2,3,2,2,3,120,0,1,3,2,3,2,0,1,0,0,0,0,0,4,4,4,3,3,3,3
130,19,1,0,1,1,1,1,1,1,1,90,1,1,1,1,1,1,0,0,0,0,0,0,0,3,4,2,2,2,2,3
142,20,2,0,2,2,2,3,3,2,3,90,0,1,3,2,3,2,0,0,0,0,0,0,0,3,4,4,4,3,3,3
110,20,2,0,2,2,2,3,2,2,3,90,1,2,2,2,2,2,0,0,0,0,0,0,0,5,5,4,5,3,4,4
