method,target,feature,mean_shap
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,nMovements,0.0988941391165327
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicBPM,0.09108027246911271
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,movementsTransitionsDuration,0.0629772543265457
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,timeDuration,0.05562388733384026
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,bodyPartsCombination,0.03545637978285291
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,handsMovement,0.03296246616019503
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,speed,0.031810878349317256
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,movementsDifficulty,0.030968064180437203
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,armsMovement,0.03001346940090466
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,balance,0.026858837191346782
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,humanMovements,0.02627867980725305
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,acrobaticMovements,0.02058989700918534
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,headMovement,0.018261468866709832
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,feetMovement,0.017949336801758333
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,movementsRepetition,0.010545794331943676
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicGenre_latin,0.008111946031544203
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,robotSpeech,0.005863986073696652
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,sameStartEndPositionPlace,0.004851917096597053
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicGenre_pop,0.004677914635314189
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,legsMovement,0.0039002176386701546
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicGenre_electronic,0.0035215340543153935
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicGenre_indie,0.0033645071224745744
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicGenre_rap,0.0009737230794211169
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicGenre_folk,0.0
OVERALL_BEST_CatBoost_GridCV_HumanReproducibility,HumanReproducibility,musicGenre_rock,0.0
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,nMovements,0.4031554513672973
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,timeDuration,0.22439475709070175
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,musicBPM,0.18902359717033576
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,movementsTransitionsDuration,0.10219648426828484
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,legsMovement,0.05631239786568793
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,balance,0.045699472959843015
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,movementsDifficulty,0.03890258396099472
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,bodyPartsCombination,0.03592116696771462
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,handsMovement,0.03464311241083265
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,movementsRepetition,0.031497998865545364
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,headMovement,0.02353978551272833
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,musicGenre_pop,0.012794672683061743
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,feetMovement,0.010284003030202786
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,armsMovement,0.010141012812942787
OVERALL_BEST_CatBoost_GridCV_PublicInvolvement,PublicInvolvement,sameStartEndPositionPlace,0.009607149906526708
