,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,,,,,,,,,,,,,,,,,,,,,,,
robotSpeech,,,,,,,,,,,,,,,,,,,,,,,,,
acrobaticMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsRepetition,,,,,,,,,,,,,,,,,,,,,,,,,
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,,,,,,1.0,,,,,,-0.35408989268560687,0.39064740131250925,,0.2477292543375062,-0.24306272584915736,-0.5965862184343087,0.15907082734403563,,-0.11391024225597901,-0.10864089961735993,,
balance,,,,,,,,,,,,,,,,,,,,,,,,,
speed,,,,,,,,,,,,,,,,,,,,,,,,,
bodyPartsCombination,,,,,,,,,,,,,,,,,,,,,,,,,
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,,,,,,,,,,,,,,,,,,,,,,,,,
headMovement,,,,,,,,-0.35408989268560687,,,,,,1.0,0.04152059947318223,,-0.8595789359694355,-0.07627456016216487,0.5693665201202698,-0.28907902345548203,,-0.42576794901975085,-0.24039418251922023,,
armsMovement,,,,,,,,0.39064740131250925,,,,,,0.04152059947318223,1.0,,-0.1172695299205074,-0.21735732884044168,-0.10104811136039984,0.1435145899555494,,-0.7598214981132944,-0.1452835638118816,,
handsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
legsMovement,,,,,,,,0.2477292543375062,,,,,,-0.8595789359694355,-0.1172695299205074,,1.0,0.07308839125386374,-0.4913042558224418,0.1695872059634426,,0.24366439257036077,0.29938789216663475,,
feetMovement,,,,,,,,-0.24306272584915736,,,,,,-0.07627456016216487,-0.21735732884044168,,0.07308839125386374,1.0,-0.21130919367704076,-0.04387134128428773,,0.1785033041026436,-0.2859115792856797,,
musicGenre_electronic,,,,,,,,-0.5965862184343087,,,,,,0.5693665201202698,-0.10104811136039984,,-0.4913042558224418,-0.21130919367704076,1.0,-0.3558908073563868,,-0.16192556269362562,-0.45069526311738606,,
musicGenre_folk,,,,,,,,0.15907082734403563,,,,,,-0.28907902345548203,0.1435145899555494,,0.1695872059634426,-0.04387134128428773,-0.3558908073563868,1.0,,0.1889861649539306,0.1360103999533253,,
musicGenre_indie,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_latin,,,,,,,,-0.11391024225597901,,,,,,-0.42576794901975085,-0.7598214981132944,,0.24366439257036077,0.1785033041026436,-0.16192556269362562,0.1889861649539306,,1.0,0.13665994630763528,,
musicGenre_pop,,,,,,,,-0.10864089961735993,,,,,,-0.24039418251922023,-0.1452835638118816,,0.29938789216663475,-0.2859115792856797,-0.45069526311738606,0.1360103999533253,,0.13665994630763528,1.0,,
musicGenre_rap,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_rock,,,,,,,,,,,,,,,,,,,,,,,,,
