,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,1.0
robotSpeech,1.0
acrobaticMovements,1.0
movementsRepetition,1.0
movementsTransitionsDuration,1.0
humanMovements,0.8507009384148386
balance,1.0
speed,1.0
bodyPartsCombination,1.0
musicBPM,1.0
sameStartEndPositionPlace,1.0
headMovement,0.8915121238588418
armsMovement,0.9207161032369353
handsMovement,1.0
legsMovement,0.9284427842881298
feetMovement,0.8792988626036831
musicGenre_electronic,0.8196524119228301
musicGenre_folk,0.9726884503200433
musicGenre_indie,1.0
musicGenre_latin,0.9048678994759574
musicGenre_pop,0.8615001563820137
musicGenre_rap,1.0
musicGenre_rock,1.0
