,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap
timeDuration,0.07444978610152946,0.07754056218880286,0.07705636372308217,0.07652584779403898,0.07614736506471702,0.08795971075014614,0.07696971117549382,0.0768249587702465,0.07740583982684772,0.07345827440677254,0.0772455581570565,0.07286695884142225,0.07727225946359945,0.07536033083170347
nMovements,0.027183441951942583,0.028141629465469303,0.027895821345287716,0.028228119430059886,0.027817428869287637,0.029902426128800067,0.028150714033847602,0.026373687905976585,0.02757390099402851,0.030946900635262523,0.028076512021210972,0.02632331237312573,0.028330573523996948,0.026102250316438643
movementsDifficulty,0.0001798031447956765,0.00019908959878610634,0.00018647530613368147,0.0002329607175479669,0.00019078349247475597,0.0002588199246495677,0.00019203350611854598,0.00022365844738290045,0.00020334072605290496,0.00013420665179312763,0.0001982210257393205,0.00015628916681172293,0.0001981021088390831,0.00018204411842631505
robotSpeech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acrobaticMovements,0.0013148008254858159,0.0013515513196640512,0.0013523460649336352,0.0013120269459799278,0.0012819854233083895,0.0021984167895419122,0.0013419029141017566,0.001366814914755472,0.0013998371910536492,0.0009168902099398629,0.0013477988110105607,0.001299414045357128,0.0013504430990092494,0.0013151956301452102
movementsRepetition,0.010852409693390993,0.010304148960431895,0.010366224487491162,0.010583949821912967,0.010515948255932784,0.008937935820195139,0.010265729370533614,0.011591802716769873,0.01083914798770081,0.0070724714800480286,0.010401652629950535,0.010499555720532055,0.0101805921027377,0.011548443455165333
movementsTransitionsDuration,0.023706194714570986,0.024895035875015896,0.024392203334915066,0.025831532922939833,0.02378131581773085,0.036784983176574346,0.024466114889197737,0.026359420712903935,0.025829144341412893,0.015693934238950102,0.02486160739609989,0.021974674126262504,0.025090749303156572,0.02255871253280715
humanMovements,0.00012695032868247734,0.00012386368462810393,0.00012090958174067444,0.00013928393799472874,0.00012457319034641498,0.00012275931019431512,0.00012115970043193719,0.00015178515828902982,0.00013181002996002323,6.747875324621499e-05,0.0001246745722965931,0.00012128956125755059,0.0001207784962049916,0.00014284195966626464
balance,0.0006930078905290708,0.0006799372560925069,0.0006854631547194586,0.0006696513118222357,0.000671966062869791,0.000824979825112491,0.0006838728097146268,0.0006703203794819749,0.0007075606770819631,0.00048781086094392323,0.0006879967300694876,0.0006041553026073397,0.0006732333069670519,0.0007284326790505214
speed,0.0010786929727908047,0.0010217930599859656,0.0010301925141089673,0.0010426295042570619,0.0010390836955772107,0.0009439863698829645,0.0010265936055113324,0.0010824041336451509,0.0010555818147061219,0.0008546243393282889,0.0010300461276585946,0.0010682475902757962,0.0010269148258380833,0.0010610161828798243
bodyPartsCombination,0.002093148790849736,0.002092534581732956,0.002083861016184691,0.0021294896093578216,0.0021038758741706333,0.0019395338572237369,0.00208379697587648,0.002166227067154189,0.0021779381195080106,0.0014325470876421467,0.0020903730511029946,0.0021246039277001837,0.0020210481562941943,0.0024514196115206954
musicBPM,0.044756125085064345,0.04353926706254432,0.04363087108025798,0.04435378373169895,0.04367731419608379,0.04503632374792897,0.04324041595816012,0.04817199638820966,0.04428727592603799,0.03976758038600912,0.04368023622447769,0.045031101864189724,0.044129991859511886,0.04196707003534897
