timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
147.0,17.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,118.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,14.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,153.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100.0,17.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,156.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130.0,20.0,3.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,141.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130.0,13.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,162.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,12.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,136.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
158.0,17.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,140.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113.0,17.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,114.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,22.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,124.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
131.0,18.0,3.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,137.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
