,stability_rho
timeDuration,0.9861324950943693
nMovements,1.0
movementsDifficulty,0.9409344983198018
robotSpeech,1.0
acrobaticMovements,1.0
movementsRepetition,1.0
movementsTransitionsDuration,0.9861324950943693
humanMovements,0.9581878994996454
balance,0.9581878994996454
speed,0.9621888716158664
bodyPartsCombination,1.0
musicBPM,1.0
sameStartEndPositionPlace,0.9489047691978731
headMovement,0.9367575182364615
armsMovement,0.9581878994996454
handsMovement,1.0
legsMovement,0.9563914067905257
feetMovement,0.9367575182364615
musicGenre_electronic,0.9149477970075011
musicGenre_folk,1.0
musicGenre_indie,0.9271647557498925
musicGenre_latin,1.0
musicGenre_pop,0.9489047691978731
musicGenre_rap,1.0
musicGenre_rock,1.0
