,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap
timeDuration,0.05488341778436543,0.05915420680204358,0.056387549705242034,0.05238707985138539,0.05419896603393024,0.07437161220538392,0.056235923795185806,0.049843128317838915,0.058666132123518594,0.03166423924932759,0.05350018510908099,0.055805572885388136,0.05452540871525772,0.06067473509967619
nMovements,0.09826233070028863,0.1019063974242824,0.1010051534070602,0.0899465372612691,0.09957629725030656,0.08991896763746053,0.09989256434882729,0.0894638910383361,0.09571259933297052,0.1239508254948456,0.11666529349877533,0.09737379320930668,0.09980331646687661,0.09471370600563786
movementsDifficulty,0.03134843809959702,0.029154564283028962,0.031529006116020455,0.028590493774570555,0.02933370845920451,0.0524713229259124,0.031091081270329616,0.02980615276431953,0.03164631091987159,0.02562643182841542,0.027873142568989543,0.031232838843013547,0.030527998139278246,0.03299150509517824
robotSpeech,0.005848675852196326,0.005936980261051896,0.005874939439824119,0.005817559879651959,0.00585364821316066,0.006000001561079439,0.005838307889957412,0.006106519650599764,0.005931447968395438,0.005332679960006911,0.005729260462155155,0.005875512029056675,0.005816660935433814,0.006081588915317137
acrobaticMovements,0.0206066407154888,0.020510068429637505,0.02051676974927506,0.020899849248438043,0.021180843477906015,0.012814799668661832,0.0202248071815823,0.02403821495404572,0.01998820506366762,0.025328610776992926,0.021125758192950383,0.020544053371790997,0.02064861244861147,0.02031992111613767
movementsRepetition,0.010596261319632021,0.010305184047207226,0.010553915364473265,0.010511373074799855,0.010208556257428916,0.01498284403960873,0.01061150751217235,0.00992512533088125,0.010585219372589567,0.010235296602504463,0.011329721467686966,0.010478728322231779,0.010807033294112537,0.009344607339226055
movementsTransitionsDuration,0.063653697113071,0.05975219376856659,0.06162465304116533,0.06871029830678177,0.06308093417988912,0.06161313592553215,0.0641296451333772,0.052092782620558144,0.0630682833105825,0.06226034212066107,0.07926666242383523,0.061583673785903105,0.06439256955905469,0.0564695793849116
humanMovements,0.026412500842162154,0.02564066436809057,0.026463225278143293,0.0254964779031129,0.02629905256606013,0.026010634914518726,0.02651118780370471,0.024082613426133586,0.02488381221551275,0.0372641655038608,0.025709879198577246,0.026327341456284268,0.026989117598456645,0.023012058982993508
balance,0.027167607301886023,0.025386721108775902,0.02709397359399556,0.02586220399846838,0.026911268450274955,0.026168997817680485,0.02692783451057334,0.02620714909694494,0.02643190495602517,0.03022120505502,0.028030678838336237,0.026758584578961783,0.0267381903643108,0.027413576033306474
speed,0.031693473704996845,0.032370625744460695,0.03185030246507571,0.03164377796876286,0.03188872827834968,0.03078660490287396,0.031050852127088205,0.03898941870439488,0.03252693843006429,0.026171441443951813,0.030653941657581726,0.03190985582294478,0.03179828805932114,0.03186876899645618
bodyPartsCombination,0.03510983561664486,0.03710859035305704,0.03612341345688758,0.032629136136944445,0.035374480112173375,0.03653393578055375,0.03536126956950056,0.03635470734677233,0.03557814999048194,0.03449736053105974,0.03604998165659643,0.03540559635258969,0.03527616615542121,0.03628500910898524
musicBPM,0.09120327289364794,0.09049384620264175,0.08897498207769415,0.10000361339420784,0.09111844077958677,0.09057809106188285,0.09193582925403145,0.08299943429936096,0.09211617831069945,0.08292184304314491,0.08480634662142689,0.09161701517471318,0.09237406449983238,0.08513136597492148
sameStartEndPositionPlace,0.004956991380607961,0.004350956873837913,0.004884857084981745,0.004712299898122425,0.0047519574227496055,0.006167089003746775,0.004822866553584067,0.005126303018103763,0.004908608727301312,0.004405433787423525,0.004909698842684049,0.004846973791323438,0.004793326587299956,0.005121318556012067
headMovement,0.018122784618414788,0.018922670535348917,0.01830915167000026,0.018059363773864117,0.01794114135432541,0.02247602588915621,0.018265238559515933,0.01822586365843763,0.018510782610196497,0.016297961664120682,0.01926411377800698,0.018175691260230047,0.01831025611550224,0.018037143183536945
