,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,,,,,,,,,,,,,,,,,,,,,,,
robotSpeech,,,,,,,,,,,,,,,,,,,,,,,,,
acrobaticMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsRepetition,,,,,,,,,,,,,,,,,,,,,,,,,
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,,,,,,,,,,,,,,,,,,,,,,,
balance,,,,,,,,,1.0,,0.13872770802325962,,,,,,,-0.00623716248702753,,,-0.6812962369806419,,,-0.13872770802325962,
speed,,,,,,,,,,,,,,,,,,,,,,,,,
bodyPartsCombination,,,,,,,,,0.13872770802325962,,1.0,,,,,,,-0.14114507316575373,,,-0.019594021659295687,,,-1.0,
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,,,,,,,,,,,,,,,,,,,,,,,,,
headMovement,,,,,,,,,,,,,,,,,,,,,,,,,
armsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
handsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
legsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
feetMovement,,,,,,,,,-0.00623716248702753,,-0.14114507316575373,,,,,,,1.0,,,-0.6902536649204812,,,0.14114507316575373,
musicGenre_electronic,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_folk,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_indie,,,,,,,,,-0.6812962369806419,,-0.019594021659295687,,,,,,,-0.6902536649204812,,,1.0,,,0.019594021659295687,
musicGenre_latin,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_pop,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_rap,,,,,,,,,-0.13872770802325962,,-1.0,,,,,,,0.14114507316575373,,,0.019594021659295687,,,1.0,
musicGenre_rock,,,,,,,,,,,,,,,,,,,,,,,,,
