,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,1.0
robotSpeech,1.0
acrobaticMovements,1.0
movementsRepetition,1.0
movementsTransitionsDuration,1.0
humanMovements,1.0
balance,0.9126159331687113
speed,1.0
bodyPartsCombination,0.9367575182364615
musicBPM,1.0
sameStartEndPositionPlace,1.0
headMovement,1.0
armsMovement,1.0
handsMovement,1.0
legsMovement,1.0
feetMovement,0.9177341093303137
musicGenre_electronic,1.0
musicGenre_folk,1.0
musicGenre_indie,0.8901597543480554
musicGenre_latin,1.0
musicGenre_pop,1.0
musicGenre_rap,0.9367575182364615
musicGenre_rock,1.0
