,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap
timeDuration,0.0470975619018854,0.03891035187254354,0.04575719125217748,0.04470309761259335,0.04500598757179936,0.05223911187497093,0.04607374275424679,0.040540247694032916,0.04479903559249437,0.05219610422847188,0.044714013632799435,0.05481765089339307,0.04503967048683347,0.0479905704031664
nMovements,0.3382015553675764,0.3256884391743834,0.3355304251276532,0.3373048245021727,0.3356884777566216,0.33787174782898033,0.3373327617174638,0.3213298074429602,0.3293701436856092,0.39214696805394555,0.33690690104612303,0.32441407156442464,0.33915267305697794,0.3205803872018471
movementsDifficulty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robotSpeech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acrobaticMovements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
movementsRepetition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
movementsTransitionsDuration,0.03641516373477878,0.039338506653515404,0.036507033088180416,0.03898646443591836,0.036719122463108884,0.03988360560920698,0.03610025532641458,0.04545361722794826,0.03821914982219094,0.026061889422063646,0.03772580636931025,0.02865123861904674,0.03714740730666327,0.03610813045888789
humanMovements,0.0017141801193178356,0.001901926113358944,0.0017553104324325743,0.001722961980755266,0.001765231746963515,0.0015592849737070293,0.0017288001586774405,0.0019517263400963744,0.0017926403400823174,0.0013737934808599334,0.001766112866687394,0.001566846671153649,0.0017349732743022243,0.0018160515295618876
balance,0.00023146276777597207,0.00023969009672937096,0.00023739972506807758,0.00021349802587018662,0.0002300234911982503,0.0002687087440140065,0.0002334514042191145,0.0002286060774275925,0.00023427383468856646,0.00022198917351776216,0.00023237403341409764,0.0002398738567191887,0.0002274763996907363,0.00025862646917774204
speed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bodyPartsCombination,0.000888118189129807,0.0011057646537647194,0.0009625393482883984,0.0007796221086348884,0.0009342574851099585,0.0008647718876388606,0.0009214891329433211,0.0010018694392424615,0.0009542475652775388,0.0007089644794399722,0.0009417368846900565,0.000789068062836628,0.0008846355514916374,0.0011340772403797778
musicBPM,0.05602627665402227,0.06065551755449333,0.057885517493001235,0.05249220565770012,0.05687734424945475,0.05709028014396499,0.05713333373846058,0.05453584983598135,0.05794169035225608,0.04779978449901668,0.05675501704596775,0.05840539230741542,0.05433499644553572,0.06875325080799824
sameStartEndPositionPlace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headMovement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
