timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
97.0,22.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,145.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113.0,19.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,128.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,140.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,128.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151.0,17.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,140.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108.0,13.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,130.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,14.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,148.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,19.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,89.0,0.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,17.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,85.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,110.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
