,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,,,,,,,,,,,,,,,,,,,,,,,
robotSpeech,,,,,,,,,,,,,,,,,,,,,,,,,
acrobaticMovements,,,,,1.0,,,-0.12325027799728548,,-0.2782248441416827,0.033501260508640406,,0.25871684190211097,,0.1715571263855448,-0.033501260508640406,,-0.22941573387056177,0.05313139275527819,,-0.09150394164151782,0.11880467568144534,,0.05931765692713777,-0.04544118236577966
movementsRepetition,,,,,,,,,,,,,,,,,,,,,,,,,
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,,,-0.12325027799728548,,,1.0,,0.1977578658902951,0.004087749274239917,,-0.06276940730938889,,-0.0384748887092322,-0.004087749274239917,,0.03226240594618422,-0.03727710244462865,,-0.032117500386016434,-0.8847759085932777,,0.06528036338087563,0.04073673727894265
balance,,,,,,,,,,,,,,,,,,,,,,,,,
speed,,,,,-0.2782248441416827,,,0.1977578658902951,,1.0,-0.06151782769153816,,0.028792581206017277,,0.003054813104000843,0.06151782769153816,,0.019148747039936045,-0.08966242089177273,,0.10114133710679694,-0.5934439919775428,,-0.0014480618297179155,-0.09220367717456729
bodyPartsCombination,,,,,0.033501260508640406,,,0.004087749274239917,,-0.06151782769153816,1.0,,0.11874256236393432,,0.10697023624649729,-1.0,,-0.11605431560419696,-0.17621689435826496,,0.012914223032489012,0.016523861043476754,,0.0825015273907885,-0.11259024527088525
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,,,,,0.25871684190211097,,,-0.06276940730938889,,0.028792581206017277,0.11874256236393432,,1.0,,0.14581267539051404,-0.11874256236393432,,-0.12523633685575494,-0.16055311810943326,,-0.025134322959023805,0.00833363083918533,,0.11467778602436343,-0.97578113309971
headMovement,,,,,,,,,,,,,,,,,,,,,,,,,
armsMovement,,,,,0.1715571263855448,,,-0.0384748887092322,,0.003054813104000843,0.10697023624649729,,0.14581267539051404,,1.0,-0.10697023624649729,,-0.983947601261612,0.13283207842609107,,0.015104696286296486,-0.003892395671719951,,-0.10616681742828254,-0.12165070454601146
handsMovement,,,,,-0.033501260508640406,,,-0.004087749274239917,,0.06151782769153816,-1.0,,-0.11874256236393432,,-0.10697023624649729,1.0,,0.11605431560419696,0.17621689435826496,,-0.012914223032489012,-0.016523861043476754,,-0.0825015273907885,0.11259024527088525
legsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
feetMovement,,,,,-0.22941573387056177,,,0.03226240594618422,,0.019148747039936045,-0.11605431560419696,,-0.12523633685575494,,-0.983947601261612,0.11605431560419696,,1.0,-0.146757696624627,,0.005690292246562137,0.005372003030862439,,0.09394627407284388,0.08031482709325045
musicGenre_electronic,,,,,0.05313139275527819,,,-0.03727710244462865,,-0.08966242089177273,-0.17621689435826496,,-0.16055311810943326,,0.13283207842609107,0.17621689435826496,,-0.146757696624627,1.0,,-0.22241802622082107,0.058670400826942304,,-0.3476135757430432,0.17828152906009948
musicGenre_folk,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_indie,,,,,-0.09150394164151782,,,-0.032117500386016434,,0.10114133710679694,0.012914223032489012,,-0.025134322959023805,,0.015104696286296486,-0.012914223032489012,,0.005690292246562137,-0.22241802622082107,,1.0,0.01011235776886969,,-0.8065150390902737,0.0014940868330847747
musicGenre_latin,,,,,0.11880467568144534,,,-0.8847759085932777,,-0.5934439919775428,0.016523861043476754,,0.00833363083918533,,-0.003892395671719951,-0.016523861043476754,,0.005372003030862439,0.058670400826942304,,0.01011235776886969,1.0,,-0.07354256504102949,0.015415276660346923
musicGenre_pop,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_rap,,,,,0.05931765692713777,,,0.06528036338087563,,-0.0014480618297179155,0.0825015273907885,,0.11467778602436343,,-0.10616681742828254,-0.0825015273907885,,0.09394627407284388,-0.3476135757430432,,-0.8065150390902737,-0.07354256504102949,,1.0,-0.10160085306248973
musicGenre_rock,,,,,-0.04544118236577966,,,0.04073673727894265,,-0.09220367717456729,-0.11259024527088525,,-0.97578113309971,,-0.12165070454601146,0.11259024527088525,,0.08031482709325045,0.17828152906009948,,0.0014940868330847747,0.015415276660346923,,-0.10160085306248973,1.0
