,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,1.0
robotSpeech,1.0
acrobaticMovements,0.9861324950943693
movementsRepetition,1.0
movementsTransitionsDuration,1.0
humanMovements,0.9289330945481298
balance,1.0
speed,0.9441808893319401
bodyPartsCombination,0.9581878994996454
musicBPM,1.0
sameStartEndPositionPlace,0.9452348377230286
headMovement,1.0
armsMovement,0.9372973371249359
handsMovement,0.9581878994996454
legsMovement,1.0
feetMovement,0.9357670324064494
musicGenre_electronic,0.9272581599670774
musicGenre_folk,1.0
musicGenre_indie,0.90701572097351
musicGenre_latin,0.9067653702066867
musicGenre_pop,1.0
musicGenre_rap,0.9061010313314554
musicGenre_rock,0.9429418432155993
