,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap
timeDuration,0.2244508938331128,0.22413035303394765,0.22635070316634504,0.2157811901456004,0.22263921720864946,0.24352282705556316,0.22269691619027787,0.2402174069277855,0.22150281805637462,0.22478354094763453,0.2289653577601223,0.16965142634559666,0.22771234501849458,0.2065070162113739
nMovements,0.40337267584244796,0.4021323240893376,0.4056588020912934,0.3921312317751872,0.3979334437103107,0.46005357646321066,0.4079550765864627,0.35842641393326524,0.5239227310981052,0.3869198501849438,0.4074380554680408,0.3518615340697534,0.40962057452733364,0.3682968582096371
movementsDifficulty,0.03886570447850444,0.03907628632352375,0.03874347465485045,0.03960326721455109,0.037929940733538406,0.04950034246015395,0.03885254177086129,0.03936894099796136,0.03453069937622306,0.039490327385305134,0.03901609065936318,0.03754308327826342,0.03936465213296709,0.03641120892927793
robotSpeech,0.005811706057331823,0.0063556470041434875,0.006012555099446686,0.00544198057231969,0.005952446946321941,0.0054114270935679085,0.005937505786867189,0.005622369325116661,0.006243074909076224,0.005861781823649291,0.0058873725398343475,0.006141657384657512,0.005883463193743848,0.006033695691392009
acrobaticMovements,0.006859821222709719,0.007161898992829563,0.006662315836083377,0.008015470594212329,0.006980407281553998,0.006175264310968489,0.006976728029079163,0.006316257979230273,0.007429681353770215,0.006843226338226708,0.006947206491171657,0.006499724416631084,0.007007193915977961,0.006403365212498292
movementsRepetition,0.0311722806205058,0.03303213179968202,0.03171627992072945,0.030536735922211386,0.03130980998453296,0.03354847354824314,0.03110887075386785,0.03512439156895,0.027178781591820342,0.0320786618500263,0.03116958882809204,0.03543145545049784,0.03179541404690034,0.029894398354135515
movementsTransitionsDuration,0.10280843658461916,0.09931418885835046,0.09905073510577261,0.11604968878206144,0.10147443352138082,0.11006382886476185,0.10384774192543786,0.08680795658385311,0.08416634462731329,0.10462040370346203,0.10103456188690663,0.11611314551797591,0.10206859780856024,0.10288602133657704
humanMovements,0.007924487809515064,0.008511522012600711,0.007883767330530294,0.00865936493755427,0.008043289133058393,0.007853036311502776,0.008065435509074749,0.007671862325821483,0.006854607293201214,0.008184948740466994,0.008091190684392409,0.007262010656065257,0.008108267640672111,0.007590713200947018
balance,0.04552029210823905,0.04654341477089754,0.04607264699321543,0.04405609456682103,0.04579092419735256,0.04470303551781198,0.045793540713020726,0.04482282950101224,0.04731937249403421,0.04548169838670344,0.045539938877133465,0.047610256177750304,0.045742308661254664,0.045468511808574655
speed,0.007269255396799125,0.008677729308249161,0.007488232074040399,0.007637869693348603,0.007467793528417745,0.00804033765322553,0.007609289589278343,0.006645817310471826,0.006507418768723004,0.007651503747086844,0.00751727393812042,0.007499746757451002,0.007514093273280839,0.007525790627839899
bodyPartsCombination,0.03608017281041294,0.0351722494486055,0.03632689895421887,0.03413441033314059,0.03571848711953673,0.03812953281348605,0.03593067929505776,0.035832518953257585,0.03099567667447235,0.03658333553031605,0.03577830627300847,0.03763224847021775,0.035209902728325825,0.039756155124120646
musicBPM,0.18763958049528295,0.19554231570983407,0.18806094862819342,0.19326289485119003,0.1888394133173027,0.19103043373567496,0.18847886020214696,0.19410015192809713,0.14678581780686245,0.19470192115098792,0.18973601408094184,0.18049078553648518,0.18559780201391607,0.2074947688159564
sameStartEndPositionPlace,0.009653234965680284,0.009390089277913403,0.009480521667318872,0.010164793508842718,0.009692740059312114,0.008674573866802452,0.009541714625230178,0.010216959425597454,0.009066400965976796,0.009679846618401976,0.009629778381319811,0.009336122492527611,0.009636032273171927,0.009451422220697184
headMovement,0.024490341182632498,0.019062668307479644,0.02365850750000597,0.02301695934793458,0.023696471227674182,0.02183256407696415,0.021338772391298964,0.044051636710627264,0.018658549143371325,0.024196004706754502,0.023484015955169923,0.02420775271348468,0.023928721950723174,0.02144272150936057
armsMovement,0.010136554786761894,0.010162010116254774,0.009993639363792241,0.010790013869769808,0.010087552114313206,0.010723511675094215,0.010123182446345368,0.010307178940209003,0.008705657679689244,0.010333977774565609,0.010125011126730685,0.010332669372801324,0.010277369531139575,0.009405805880874203
handsMovement,0.033115468626542945,0.04183831463483705,0.034671663818568454,0.03451737813575639,0.03576468717298173,0.02242262073158295,0.03425938640307293,0.038219161410858106,0.0270975466618808,0.03565751628304271,0.03427430000937463,0.03906047912829583,0.034348527479215726,0.03623145280705064
legsMovement,0.056290953063516065,0.05641340288391807,0.056191401766301344,0.05684523873238772,0.0563555786020289,0.05584190775930637,0.05621324454284207,0.057236435157510736,0.051423278419055606,0.0569696768376525,0.05647719679813379,0.054338556106620556,0.05558636677760178,0.06022700578466045
feetMovement,0.010545998974237362,0.009050002133799962,0.0103234047148093,0.010110486463292165,0.010354348680026585,0.009517528553997685,0.010231407035320406,0.01077415968130558,0.008169184027685853,0.010568313134514675,0.009943892571853723,0.014357598747247367,0.010181349943634505,0.010837487023080362
musicGenre_electronic,0.002165209690267245,0.009182693545912208,0.0036696885252904456,0.0021809595420057594,0.003533295116596842,0.001878536931811443,0.003498786785503616,0.0024194349334168493,0.002006759610476681,0.0035807133478109503,0.0034868809883762575,0.0022840190416547673,0.003610184616173993,0.0022295992005592104
musicGenre_folk,0.004787149978122308,0.0031869919087291485,0.0029722017480325997,0.011265447480921346,0.004677921561232859,0.0026436219592445324,0.004663824810196726,0.003044599459826712,0.0023476849293569673,0.004797192351686163,0.004607519613601223,0.0033019089591063235,0.004768728399778964,0.0030952535597946304
musicGenre_indie,0.003658110738945062,0.00022755170208013913,0.0037044719784150443,0.00020735994601263786,0.00021289945200027457,0.03404956072614572,0.0033620348827365985,0.0002175181997583685,0.00020022556449233886,0.0034414107252724907,0.003295819476076145,0.00020064691725014144,0.0035849825651030395,0.0002122245454459638
musicGenre_latin,0.008600262714928593,0.004401216588835819,0.008675999140181058,0.004292875057262076,0.008131577575836291,0.004958965113595088,0.004494880781630403,0.03927081701001579,0.005415368069872533,0.008194183095801793,0.00819554769832393,0.0039043581954143554,0.008545387412825624,0.004195714109372426
musicGenre_pop,0.014422226116728647,0.005128896010490527,0.014480285028466128,0.005371597496359693,0.013469763817813583,0.005438992193994634,0.013648621914193769,0.004836483161608236,0.06744168959106689,0.005448086966290175,0.013307308522452172,0.006654693424908065,0.014090326612623329,0.005808777428522523
musicGenre_rap,0.0035084454387608334,0.001198547732431325,0.0035568182692081503,0.0011093988040501064,0.003290556879397722,0.0010702359786349308,0.0033221811226724672,0.0010697802886996618,0.0009514514348650892,0.003393280187695918,0.001078719695372318,0.027360165805415202,0.0034920329301238234,0.0010112318681698954
musicGenre_rock,0.00997259657326606,0.006568715563581395,0.010081998110678956,0.006269477175367614,0.00965619344033593,0.006328653605641093,0.009643036067123417,0.006892270067828029,0.00486921069997631,0.009982413149009394,0.009622711894859524,0.006427167585806628,0.006298609800380581,0.02597165099085604
