timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
108.0,10.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,136.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121.0,17.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,128.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
136.0,17.0,3.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,147.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,23.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,141.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,16.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,160.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138.0,20.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,137.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124.0,13.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,117.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124.0,19.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,133.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122.0,21.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,116.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,18.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,110.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112.0,15.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,114.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125.0,15.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,152.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99.0,19.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,166.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,14.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,101.0,1.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139.0,22.0,3.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,142.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,17.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,138.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,20.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,128.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141.0,20.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,121.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104.0,18.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,132.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
107.0,9.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,123.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,13.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,128.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,15.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,153.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.0,21.0,3.0,0.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,132.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,15.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,152.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,12.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,120.0,1.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121.0,17.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,99.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104.0,15.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,150.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,19.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,90.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,9.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,126.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,21.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,120.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,19.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,118.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,17.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,98.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,128.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,21.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,120.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,13.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,145.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125.0,14.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,108.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118.0,14.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,97.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116.0,20.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,133.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150.0,18.0,1.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,136.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144.0,14.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,100.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100.0,12.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,136.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106.0,21.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,126.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98.0,21.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,119.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118.0,20.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,140.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145.0,19.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,145.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,20.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,125.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,110.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
145.0,17.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,107.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112.0,18.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,128.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100.0,21.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,94.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100.0,18.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,110.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
