,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,1.0,,,0.01950824977139768,-0.14831752728413009,0.06850618861904635,,,0.12868814777542148,-0.1344910974643215,-0.033501260508640406,-1.0,-0.021266970502955673,0.11519105341223408,0.02746114208598164,0.021266970502955673,0.033501260508640406,,,0.0901646916577388,-0.00194711785766906,-0.026860765467512676,-0.05148541051704183,0.026860765467512676,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,,,,,,,,,,,,,,,,,,,,,,,
robotSpeech,0.01950824977139768,,,1.0,0.052273227745430466,-0.020903667571533283,,,0.03745443836009935,0.08925217286066475,0.007352448273666206,-0.01950824977139768,0.09075530022400762,-0.0843744304199257,-0.05906756556042173,-0.09075530022400762,-0.007352448273666206,,,-0.7915298964391015,-0.22977517533181455,-0.027510342394036474,0.0597083571083602,0.027510342394036474,
acrobaticMovements,-0.14831752728413009,,,0.052273227745430466,1.0,-0.3901190798838697,,,-0.33933457999601563,0.06356387180804926,-0.0828851264768599,0.14831752728413009,0.009789096655312505,-0.16458346258416687,-0.5375301227402846,-0.009789096655312505,0.0828851264768599,,,-0.030478344507812574,0.06560924330646949,0.14875313385585123,-0.08909940753812369,-0.14875313385585123,
movementsRepetition,0.06850618861904635,,,-0.020903667571533283,-0.3901190798838697,1.0,,,-0.06612141028584306,-0.08635324016438312,0.06756436976494667,-0.06850618861904635,-0.08986603748939967,0.12143383241270202,-0.44874480897854546,0.08986603748939967,-0.06756436976494667,,,0.1132022582120331,-0.12119506906820764,-0.05378506917353521,0.1000946859313852,0.05378506917353521,
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,,,,,,,,,,,,,,,,,,,,,,,
balance,0.12868814777542148,,,0.03745443836009935,-0.33933457999601563,-0.06612141028584306,,,1.0,-0.09585642586135688,0.03880093646698927,-0.12868814777542148,0.07642007358027844,0.11550531169773702,0.07129505337486368,-0.07642007358027844,-0.03880093646698927,,,-0.05571935261286669,-0.046652463512125125,-0.017948053501498782,0.07115773241131196,0.017948053501498782,
speed,-0.1344910974643215,,,0.08925217286066475,0.06356387180804926,-0.08635324016438312,,,-0.09585642586135688,1.0,0.24909649144269785,0.1344910974643215,-0.16058082195067966,-0.8564957501576829,0.01564847166714732,0.16058082195067966,-0.24909649144269785,,,-0.062009735796723295,-0.20874781400603154,0.048769206657176635,0.20616800211126898,-0.048769206657176635,
