,stability_rho
timeDuration,0.9581878994996454
nMovements,1.0
movementsDifficulty,1.0
robotSpeech,0.9362679706758715
acrobaticMovements,0.867697751327179
movementsRepetition,0.8893843603471022
movementsTransitionsDuration,1.0
humanMovements,1.0
balance,0.9354653258726429
speed,0.9516391445612017
bodyPartsCombination,0.9861324950943693
musicBPM,0.9581878994996454
sameStartEndPositionPlace,0.9344647286198356
headMovement,0.9506058460971094
armsMovement,0.8940026828856915
handsMovement,0.9344647286198356
legsMovement,0.9861324950943693
feetMovement,1.0
musicGenre_electronic,1.0
musicGenre_folk,0.9441808893319401
musicGenre_indie,0.9147766771182045
musicGenre_latin,0.9308167304449639
musicGenre_pop,0.9232052352211696
musicGenre_rap,0.9308167304449639
musicGenre_rock,1.0
