,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap
timeDuration,0.19611091249204018,0.18649614203613926,0.19203808603029235,0.19509443265255322,0.19260927744526662,0.21967991481806415,0.19567843157377549,0.18499234360888242,0.19453335783901415,0.19428738255531677,0.1921071540963789,0.22254133025475303,0.1955484421225445,0.18938874347619586
nMovements,0.5874315564318269,0.6128254814041654,0.6110281050125217,0.5870525264321605,0.5923006869300264,0.5833160369189667,0.5991471950891889,0.5310289691425248,0.5678763091063938,0.7790721703009824,0.5976886216391568,0.5213353612090271,0.6060925735114351,0.5209075400104707
movementsDifficulty,0.005466537352191821,0.004664927964170799,0.00487147702206152,0.005442755446167956,0.005272735126691417,0.006128759520926299,0.005369610455345951,0.005033309866638329,0.005582647716896127,0.003364215904914345,0.005356508545952016,0.005054427509765243,0.00493492185500441,0.007284566895376915
robotSpeech,0.006370097834385158,0.006034552214341156,0.007014666214428318,0.0061469065019579576,0.006289802457423386,0.006636301902447785,0.006352126048457586,0.006005421909954129,0.006475994633842706,0.0050388585467786035,0.006261699755555794,0.006926291323719652,0.006458211532958247,0.0056068156261021174
acrobaticMovements,0.016760274425260537,0.011454792259142659,0.015195256155703028,0.016036549283860876,0.015781708212078856,0.01710600840933331,0.016390823965801056,0.011686040654867034,0.01590427894813899,0.015639783366789287,0.015977622514436022,0.014668843430974647,0.013992521368559482,0.025109049253453253
movementsRepetition,0.016232053861291184,0.016851587994785318,0.01773080096004362,0.016002552935471266,0.016318582323971417,0.016559944870705903,0.01629065084072759,0.016699215396072255,0.016642525521974205,0.013917389809172984,0.016530620283674802,0.014054638658758013,0.01665179660647739,0.014783408467427045
movementsTransitionsDuration,0.07966715354605923,0.07034138474104672,0.08883264605774434,0.07555162035221274,0.07693120346847077,0.09376047517409945,0.07839665755086972,0.07578596479302974,0.08144008737169232,0.05188461834815282,0.07833830361451101,0.0754431188330927,0.07621662610278578,0.08740139724793733
humanMovements,0.01269623215126467,0.00956351350585821,0.011687578101647717,0.012289072573381311,0.012369635434712844,0.009565490791937924,0.012220798649386801,0.011787075543698131,0.012013867811527348,0.01342802626429302,0.011933131355186652,0.014979310104041355,0.011672948000537581,0.014627872888845343
balance,0.017379932649013562,0.016224500564543862,0.015338169125773047,0.017628181663121315,0.017073275846569785,0.018697021900135342,0.016957832563832452,0.019046151019986395,0.01791359184735965,0.011464826132721569,0.016884286480798146,0.020725681369647787,0.01706489356704401,0.017786301743787106
speed,0.014130303623460233,0.01370828550515034,0.010798763846104543,0.01483797603466109,0.013981878476966853,0.015094837594521467,0.013892816863992664,0.015414719189159362,0.014159452892090106,0.013275360254786638,0.013698433958904277,0.018284326948146804,0.014069224103652295,0.014013817329839844
bodyPartsCombination,0.008504054097381163,0.007570716610462872,0.0066965784819163435,0.008742327728505356,0.008524933975984543,0.006002419365099437,0.008307471985506541,0.008678805157754313,0.008191004967074944,0.009586438329540823,0.008231106630170845,0.009717213964042327,0.007881386779845595,0.010638954344258754
musicBPM,0.20198899112447688,0.19394097623756582,0.18582302151721763,0.2041820769615978,0.19731094013543532,0.24490901585686148,0.20179522577195827,0.19131750125710476,0.20327066490641382,0.17996890611825356,0.20093126745312467,0.19730273701882317,0.19545359420537714,0.22612049994593153
sameStartEndPositionPlace,0.03949366795825917,0.037226251695629785,0.037131686856091806,0.039588369847343194,0.03904246991615917,0.04007931320787005,0.03816745067571255,0.04680218021768247,0.04086528908845129,0.025331257756166042,0.038874112007334656,0.041932025287495456,0.03767679642038801,0.046172727086806364
headMovement,0.01469916359410864,0.013930045635147596,0.013237630929072923,0.01488885126091916,0.01446499454631484,0.015974693234714028,0.014480230382990572,0.015305043438216056,0.015008595826661643,0.011122455149842253,0.014475239428712339,0.015687197643978936,0.014284773825293346,0.015974021886389075
armsMovement,0.016144624015745655,0.015937108396492684,0.016122559168802876,0.0161069753768337,0.01615403822123991,0.015525071545256642,0.016286617921450832,0.014677123093901404,0.01562174632518452,0.019955114288007652,0.016251114257156918,0.014460245733869398,0.016098893891409873,0.016164363670309368
