,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,1.0,,0.14110921049876368,-1.0,,0.059017923779765745,0.14640779556093855,0.026141261122357866,-0.005230387512379454,,-0.1657169399657703,-0.12854391088989547,-0.026141261122357866,,0.005230387512379454,-0.20802217302574752,,0.15195116490285998,,0.07039408615324749,-0.15195116490285998,,0.050282550464177234
robotSpeech,,,,,,,,,,,,,,,,,,,,,,,,,
acrobaticMovements,,,0.14110921049876368,,1.0,-0.14110921049876368,,0.054023039752508085,0.052495065695726005,0.11664236870396087,-0.18378676102867628,,-0.03880387398411941,-0.9927055958835662,-0.11664236870396087,,0.18378676102867628,-0.09460788905446331,,-0.008179702548889205,,0.040266707267245266,0.008179702548889205,,-0.023585475505750294
movementsRepetition,,,-1.0,,-0.14110921049876368,1.0,,-0.059017923779765745,-0.14640779556093855,-0.026141261122357866,0.005230387512379454,,0.1657169399657703,0.12854391088989547,0.026141261122357866,,-0.005230387512379454,0.20802217302574752,,-0.15195116490285998,,-0.07039408615324749,0.15195116490285998,,-0.050282550464177234
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,0.059017923779765745,,0.054023039752508085,-0.059017923779765745,,1.0,0.0034031316250688753,-0.05183389377215482,0.10981072254787336,,0.009129062439270278,-0.061396525245458626,0.05183389377215482,,-0.10981072254787336,-0.6027142073321696,,-0.08296173369357354,,-0.2004368184982873,0.08296173369357354,,0.19880342874054477
balance,,,0.14640779556093855,,0.052495065695726005,-0.14640779556093855,,0.0034031316250688753,1.0,-0.25717224993681986,0.10474860787994063,,-0.9838767544837452,-0.07973158257280664,0.25717224993681986,,-0.10474860787994063,0.013155933564467754,,0.11336002198631517,,-0.030645836043918562,-0.11336002198631517,,0.021165354146212845
speed,,,0.026141261122357866,,0.11664236870396087,-0.026141261122357866,,-0.05183389377215482,-0.25717224993681986,1.0,-0.09799919151000505,,0.2613866510869666,-0.11289674382629772,-1.0,,0.09799919151000505,0.09203705160814193,,0.008586898925366368,,-0.10639699118922724,-0.008586898925366368,,0.08977161855789355
bodyPartsCombination,,,-0.005230387512379454,,-0.18378676102867628,0.005230387512379454,,0.10981072254787336,0.10474860787994063,-0.09799919151000505,1.0,,-0.12021904587984775,0.18896207991257136,0.09799919151000505,,-1.0,-0.04452564717687393,,0.04123394846093773,,-0.006904245090086874,-0.04123394846093773,,0.0004345562055662183
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,,,-0.1657169399657703,,-0.03880387398411941,0.1657169399657703,,0.009129062439270278,-0.9838767544837452,0.2613866510869666,-0.12021904587984775,,1.0,0.04478045655847043,-0.2613866510869666,,0.12021904587984775,-0.015994648278056394,,-0.13378584793296636,,0.01769775204443375,0.13378584793296636,,-0.010115454845786345
headMovement,,,-0.12854391088989547,,-0.9927055958835662,0.12854391088989547,,-0.061396525245458626,-0.07973158257280664,-0.11289674382629772,0.18896207991257136,,0.04478045655847043,1.0,0.11289674382629772,,-0.18896207991257136,0.09461534447981759,,0.019488087583068924,,-0.030518150867206408,-0.019488087583068924,,0.01553912613886518
