,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,0.9314513880599162
robotSpeech,1.0
acrobaticMovements,0.931721125800108
movementsRepetition,0.9314513880599162
movementsTransitionsDuration,1.0
humanMovements,0.9283342820033516
balance,0.9389931665972268
speed,0.9804876864331679
bodyPartsCombination,0.9349855075626655
musicBPM,1.0
sameStartEndPositionPlace,0.9413470295707801
headMovement,0.9292206773858882
armsMovement,0.9804876864331679
handsMovement,1.0
legsMovement,0.9349855075626655
feetMovement,0.90071154468823
musicGenre_electronic,1.0
musicGenre_folk,0.93043871523058
musicGenre_indie,1.0
musicGenre_latin,0.8737917755115938
musicGenre_pop,0.93043871523058
musicGenre_rap,1.0
musicGenre_rock,0.9244419877907498
