,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.231491700699306,0.23853077600075429,0.23328887826849923,0.23109653430568292,0.23146551929330964,0.24996976509759383,0.2316874164730004,0.24513443181215197,0.23408011899449752,0.22199333612524094,0.2351980353949186,0.2039402095548003,0.2288219712677491,0.23378800981642514
nMovements,0.5216291030150544,0.5208795848625762,0.5218952272947415,0.5196720046406929,0.5215132549277256,0.5210942521647967,0.523507962069611,0.5006670232801835,0.5151210251413006,0.5792092619777862,0.5219912695862198,0.5151115178386232,0.5166246865586279,0.5225669924545718
movementsDifficulty,0.03361000224316287,0.03431092162717939,0.033233323011170435,0.035998721996125305,0.0334870065769131,0.03690381824167226,0.03383228032109992,0.032885888244069815,0.03418835177842953,0.029754222354228504,0.03393711921233802,0.031390342705255855,0.033438076665006165,0.03381766185584901
robotSpeech,0.006225663830420772,0.0054513436853513685,0.005980377254683692,0.006477103571938113,0.006046066231998852,0.006396680560726355,0.005838624614043384,0.008478611249707974,0.006259235622818825,0.004381419802752244,0.006096400731475667,0.005779136790211978,0.005812642459732333,0.0061310606018436485
acrobaticMovements,0.007701533133685588,0.007832830545717036,0.00783454532567524,0.007259399997739,0.007747569002780137,0.0074843558845179604,0.007471335599202695,0.010357565216543574,0.007872241471576965,0.006413154074275074,0.007846493469540554,0.006240678272273313,0.007680224427268452,0.007737996098239301
movementsRepetition,0.03376470955575394,0.03453191476697837,0.033357430517391255,0.03635738147071146,0.03404121663928614,0.032405023717936646,0.034753523499387776,0.025315872683263713,0.034096592844955684,0.032277765121375174,0.033804938397578574,0.035304177416068915,0.03496510655254198,0.03368156034246769
movementsTransitionsDuration,0.049921038615771025,0.04625981232503434,0.048094832386908225,0.054022095031964444,0.049189084891751486,0.049313834838136825,0.04956285799660996,0.04545804822262273,0.04841399827628364,0.05632026660141807,0.049250573290799335,0.04854988522314183,0.044558889457804646,0.05023593733018133
humanMovements,0.013996917930086342,0.01410729728487795,0.01409862730162475,0.013669411215337145,0.014004111516755912,0.014194841348470141,0.013790371605198803,0.0163635431608035,0.014193591706862015,0.012431274308643285,0.01417647878263095,0.012048293597675175,0.014021459326572313,0.014018079904957388
balance,0.006867617030534048,0.0070516223817422745,0.007021859269061387,0.006388557871290353,0.006840299761611052,0.007672271443851282,0.006767441230041117,0.008305565933677778,0.00708256850138266,0.0052824622610573605,0.006924571594704193,0.006646072699309792,0.0075112904180283865,0.006768134200835939
speed,0.009440600150516676,0.009550283450785539,0.009419466106570492,0.009649170096447257,0.009457572696903201,0.009518633639886047,0.009335670546290099,0.010762100595836125,0.009509088011452178,0.009037048303854291,0.009360204687197298,0.010736506924653746,0.007903444143107013,0.009810744997523891
