timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
154.0,21.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.0,20.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,116.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,20.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,115.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112.0,21.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,137.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
126.0,19.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,90.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
102.0,20.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,110.0,1.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
121.0,18.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,146.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,19.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,116.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,18.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,102.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106.0,21.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,100.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,21.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,120.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122.0,12.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,103.0,0.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118.0,20.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,140.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106.0,20.0,3.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,140.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108.0,20.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,136.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121.0,21.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,93.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130.0,20.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,120.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90.0,17.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,100.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99.0,20.0,3.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,118.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,9.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,125.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107.0,22.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,122.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,18.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,134.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,18.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,109.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93.0,16.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,164.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96.0,17.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,112.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103.0,21.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,124.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138.0,18.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,84.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140.0,18.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102.0,20.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,111.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115.0,9.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,118.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90.0,18.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,128.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,10.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,109.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118.0,14.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,106.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,16.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,108.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,20.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,120.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97.0,20.0,3.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,116.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,15.0,3.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,124.0,0.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100.0,12.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,136.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95.0,18.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,119.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102.0,16.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,108.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103.0,19.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,160.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120.0,20.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,105.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90.0,20.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,128.0,1.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118.0,22.0,2.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,118.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,14.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,128.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109.0,19.0,2.0,0.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,125.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,18.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,134.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85.0,17.0,3.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,110.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103.0,15.0,3.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,88.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,17.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,161.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129.0,21.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,137.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,15.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,98.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125.0,14.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,152.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,17.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,119.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120.0,21.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,126.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98.0,21.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,119.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115.0,19.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,125.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106.0,20.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,115.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95.0,21.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,107.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
