,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,,,,,,,,,,,,,,,,,,,,,,,
robotSpeech,,,,1.0,0.0,0.35159815479958334,,0.0,0.0,,0.09056207754922548,,,,-0.1461737552757486,,-0.29774566708770683,0.13812843656611143,,-0.21125665771512062,-0.7106690545187014,-0.19720610016079548,-0.3499639231045787,0.0,0.1907703992155875
acrobaticMovements,,,,0.0,1.0,-0.012042393782354123,,0.11283778477771594,0.12129625973046887,,0.15480759844338254,,,,-0.09691953695705807,,-0.11536631072289337,0.2624885045871922,,-0.23602873033481925,-0.11338355717496791,0.02094142170643035,0.19015945173089502,-0.9564597507691541,-0.058232958926902535
movementsRepetition,,,,0.35159815479958334,-0.012042393782354123,1.0,,-0.10995709310053838,0.10087259893102536,,-0.0690870622589489,,,,0.019505881218678793,,-0.6452827378278834,0.015469015106076605,,-0.3204284510707687,-0.25669697546166503,-0.06752550658053523,-0.13615473407016424,0.025606752590225965,0.09385196743446525
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,,0.0,0.11283778477771594,-0.10995709310053838,,1.0,-0.7498240081998172,,0.047999726412192974,,,,-0.2585468125506581,,0.0,0.2556283872815621,,-0.1743127171450758,0.07036672182012485,0.1301162530423508,-0.1407497648715832,-0.1048219615200448,0.08230243832439706
balance,,,,0.0,0.12129625973046887,0.10087259893102536,,-0.7498240081998172,1.0,,-0.004796592685813467,,,,0.1934848691638454,,-0.08993439076775481,-0.041824249029426185,,-0.005695858251802857,-0.042931666533242104,-0.06148480852642222,0.1454677356500369,-0.25780804122702766,-0.11010974067752687
speed,,,,,,,,,,,,,,,,,,,,,,,,,
bodyPartsCombination,,,,0.09056207754922548,0.15480759844338254,-0.0690870622589489,,0.047999726412192974,-0.004796592685813467,,1.0,,,,-0.40980544483905856,,-0.11261629998145511,0.005310150836165808,,0.02259631605817511,-0.14954157694545392,0.18988260652984196,0.06638520960903045,-0.16409333797284456,-0.5409451789996778
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,,,,,,,,,,,,,,,,,,,,,,,,,
headMovement,,,,,,,,,,,,,,,,,,,,,,,,,
armsMovement,,,,-0.1461737552757486,-0.09691953695705807,0.019505881218678793,,-0.2585468125506581,0.1934848691638454,,-0.40980544483905856,,,,1.0,,0.10603688554344107,0.12911106169496053,,-0.1286398899972643,0.16809861157630043,-0.5044135870465142,0.17331516417731488,0.06260846520513749,-0.30536570840344046
handsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
legsMovement,,,,-0.29774566708770683,-0.11536631072289337,-0.6452827378278834,,0.0,-0.08993439076775481,,-0.11261629998145511,,,,0.10603688554344107,,1.0,-0.12041349227753724,,0.14306838273452,0.39780542762657,0.1206372834293446,-0.025781503111275146,0.1257588315013396,-0.09088169564005319
feetMovement,,,,0.13812843656611143,0.2624885045871922,0.015469015106076605,,0.2556283872815621,-0.041824249029426185,,0.005310150836165808,,,,0.12911106169496053,,-0.12041349227753724,1.0,,-0.9090151854717511,-0.11334354439853095,-0.2081200144434997,0.08425714748313785,-0.311395502888846,-0.005192546852468459
musicGenre_electronic,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_folk,,,,-0.21125665771512062,-0.23602873033481925,-0.3204284510707687,,-0.1743127171450758,-0.005695858251802857,,0.02259631605817511,,,,-0.1286398899972643,,0.14306838273452,-0.9090151854717511,,1.0,0.11775181897975348,0.16428286802448977,-0.007771325759509052,0.2718956854230791,0.007134610279914573
musicGenre_indie,,,,-0.7106690545187014,-0.11338355717496791,-0.25669697546166503,,0.07036672182012485,-0.042931666533242104,,-0.14954157694545392,,,,0.16809861157630043,,0.39780542762657,-0.11334354439853095,,0.11775181897975348,1.0,0.23188168763527184,-0.010256021870036556,0.0910178574166755,-0.1859309063872413
musicGenre_latin,,,,-0.19720610016079548,0.02094142170643035,-0.06752550658053523,,0.1301162530423508,-0.06148480852642222,,0.18988260652984196,,,,-0.5044135870465142,,0.1206372834293446,-0.2081200144434997,,0.16428286802448977,0.23188168763527184,1.0,-0.04915784026152214,-0.017293873056277515,-0.31170780177703195
musicGenre_pop,,,,-0.3499639231045787,0.19015945173089502,-0.13615473407016424,,-0.1407497648715832,0.1454677356500369,,0.06638520960903045,,,,0.17331516417731488,,-0.025781503111275146,0.08425714748313785,,-0.007771325759509052,-0.010256021870036556,-0.04915784026152214,1.0,-0.32805228264002184,-0.14320070657340758
musicGenre_rap,,,,0.0,-0.9564597507691541,0.025606752590225965,,-0.1048219615200448,-0.25780804122702766,,-0.16409333797284456,,,,0.06260846520513749,,0.1257588315013396,-0.311395502888846,,0.2718956854230791,0.0910178574166755,-0.017293873056277515,-0.32805228264002184,1.0,0.08475671400136063
musicGenre_rock,,,,0.1907703992155875,-0.058232958926902535,0.09385196743446525,,0.08230243832439706,-0.11010974067752687,,-0.5409451789996778,,,,-0.30536570840344046,,-0.09088169564005319,-0.005192546852468459,,0.007134610279914573,-0.1859309063872413,-0.31170780177703195,-0.14320070657340758,0.08475671400136063,1.0
