,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,1.0
robotSpeech,0.9802895868003639
acrobaticMovements,0.9308167304449639
movementsRepetition,0.9396494313018415
movementsTransitionsDuration,1.0
humanMovements,0.9310980787824117
balance,0.9204348453742857
speed,1.0
bodyPartsCombination,0.8985344378852593
musicBPM,1.0
sameStartEndPositionPlace,1.0
headMovement,1.0
armsMovement,0.8819347894619505
handsMovement,1.0
legsMovement,0.966900587685412
feetMovement,0.9228519219174842
musicGenre_electronic,1.0
musicGenre_folk,0.9162481372483304
musicGenre_indie,0.9861324950943693
musicGenre_latin,0.9095036564849817
musicGenre_pop,0.9722649901887386
musicGenre_rap,0.8877717388748154
musicGenre_rock,0.8745636984989363
