,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,1.0,-0.5264441329832351,-0.09990174496998729,,-0.13294018899733684,0.005388443633764147,-0.20060974510292562,,,,,,0.053499692970440806,0.13294018899733684,0.006338077455584661,0.10723795788910058,,0.11884575956314461,0.1484767392864932,-0.03989532564311641,-0.04874727660822347,-0.07295574514785295,,-0.13505847008032656,-0.06791900784006373
nMovements,-0.5264441329832351,1.0,-0.037860968622076455,,0.08748024299638002,0.07763894831362514,-0.68801210786113,,,,,,-0.15088845964069875,-0.08748024299638002,-0.049123649312410436,0.015896392223292356,,-0.08478215822926696,-0.14845892897021562,0.0743462201262019,0.07666464886854675,0.17252399123384324,,0.08178591267848327,0.09816258431833212
movementsDifficulty,-0.09990174496998729,-0.037860968622076455,1.0,,-0.05426377719485659,-0.4166666666666667,0.04621504906192213,,,,,,-0.10206207261596575,0.05426377719485659,0.13127625787762592,-0.9547032697824667,,0.02991492327573909,-0.05627325821889754,-0.10154668304608624,-0.018928575275841235,0.053386549130969484,,0.06946347266353223,0.05128812124138864
robotSpeech,,,,,,,,,,,,,,,,,,,,,,,,,
acrobaticMovements,-0.13294018899733684,0.08748024299638002,-0.05426377719485659,,1.0,-0.07379873698500496,0.030880897219444436,,,,,,0.12051283285008214,-1.0,0.1112412882214932,0.08336294190891083,,-0.0012466918897427982,-0.13976232588808876,-0.142714595706247,0.17045295969585816,-0.07456955255924329,,-0.0697062873540319,-0.07053456158585983
movementsRepetition,0.005388443633764147,0.07763894831362514,-0.4166666666666667,,-0.07379873698500496,1.0,-0.04875005175308241,,,,,,0.06804138174397717,0.07379873698500496,-0.2975595178559521,0.1272937693043289,,-0.03589790793088691,-0.15347252241517512,0.2981583459651043,0.06182700466983318,-0.04693323000524789,,0.09642238415051216,0.020515248496555453
movementsTransitionsDuration,-0.20060974510292562,-0.68801210786113,0.04621504906192213,,0.030880897219444436,-0.04875005175308241,1.0,,,,,,0.13628975397373563,-0.030880897219444436,0.02088870032894388,-0.034467552353547995,,0.007840111415172397,0.029517503886924333,-0.0255617903063167,-0.009348253030189461,-0.14581315857377558,,-0.00038310818477918957,-0.06144733752941105
humanMovements,,,,,,,,,,,,,,,,,,,,,,,,,
balance,,,,,,,,,,,,,,,,,,,,,,,,,
speed,,,,,,,,,,,,,,,,,,,,,,,,,
