,stability_rho
timeDuration,0.9094714647450004
nMovements,0.8905140215042151
movementsDifficulty,0.928605846898187
robotSpeech,1.0
acrobaticMovements,0.9344647286198356
movementsRepetition,0.9726884503200433
movementsTransitionsDuration,0.9078024485119669
humanMovements,1.0
balance,1.0
speed,1.0
bodyPartsCombination,1.0
musicBPM,1.0
sameStartEndPositionPlace,0.9581878994996454
headMovement,0.9344647286198356
armsMovement,0.9349855075626655
handsMovement,0.9374213781225256
legsMovement,1.0
feetMovement,0.9762246332253725
musicGenre_electronic,0.893163014764823
musicGenre_folk,0.9260399738366362
musicGenre_indie,0.8845720102244659
musicGenre_latin,0.932020502199471
musicGenre_pop,1.0
musicGenre_rap,0.8994962184740789
musicGenre_rock,0.9861324950943693
