,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.054130164739049205,0.048085930311966826,0.054661001793618796,0.04666439574274212,0.05207847566235053,0.06566902375531371,0.052889424769259126,0.05502127468790518,0.05330652671479231,0.05113218535773354,0.05334637879096747,0.05015817433103981,0.05925922064783613,0.05183772714416829
nMovements,0.05506303692529339,0.05149941838086371,0.05491678957583684,0.05254465893567673,0.05378508599357557,0.06271246134437204,0.05421004721449088,0.056736391801400395,0.05374002962714805,0.06100152163285505,0.05352364104198532,0.06522085201204175,0.04556219006246929,0.05626215331444835
movementsDifficulty,0.014199606326026536,0.013998007935314036,0.014435548859124974,0.013055562464481526,0.014138276470053472,0.014496475269024811,0.014111808155006197,0.01466800412000227,0.013837435827151509,0.01717964004264147,0.01399540664364874,0.016133114943104904,0.01327738762767344,0.014345795578591785
robotSpeech,0.004133976470264107,0.003676728575922916,0.0041577238741187204,0.0036364919361927778,0.004036560676278691,0.0042907777852997245,0.0040799994864173395,0.003824424299692043,0.00396964262380909,0.004846055313616186,0.0040358802083322815,0.004283719267264934,0.004432684465683292,0.003978740375033859
acrobaticMovements,0.005789686312479649,0.0062740383029113184,0.005861688415992856,0.005918199962913298,0.005851145338399283,0.006140666547466935,0.00596643375166177,0.004987497010373684,0.006064057653738748,0.004112432691053117,0.005782031055040355,0.006925564852377538,0.006469651130362261,0.005751209969783682
movementsRepetition,0.014915306356610687,0.01623120454405271,0.014760248667846452,0.016702638387042456,0.01547101857711707,0.011052138273679759,0.015196482242393568,0.014616839552613666,0.014836844475368578,0.01794016430606462,0.015236471253586396,0.01403351120720104,0.013902365093012438,0.015393274779048496
movementsTransitionsDuration,0.05469794660401523,0.05320502186658041,0.05424443001174233,0.055251595387783785,0.05325481518874776,0.06915018529001767,0.05519463437049112,0.04732730080618883,0.05492749291165174,0.049972955744420434,0.05424158749586293,0.05676570248532752,0.05021463820697308,0.055302749667453674
humanMovements,0.004839287707935663,0.0036897764844482546,0.004571290798724884,0.004932571759087902,0.004690883650280499,0.004037823143371497,0.004255559049214837,0.008295526252520906,0.004655080095232563,0.004522791693255255,0.004601043361411099,0.005118650054336126,0.003962802995762543,0.004780456434638543
balance,0.023231082784024547,0.023388391850086766,0.023948091736838525,0.020428137928205012,0.02322303544493609,0.023692113606028888,0.023083044358108894,0.024912231720558255,0.023439513799536023,0.02158831204260509,0.023225359783683508,0.023637551607263208,0.02585605168897421,0.02272898157825692
speed,0.01270755999955945,0.011290930463708425,0.0128295698939276,0.01096762333890616,0.012332656646444399,0.014099025894092851,0.012472699627388398,0.012387709349101737,0.012259747328314252,0.014349401107921864,0.012504030143053211,0.012006685220343675,0.013255342672245806,0.0123035248460347
