,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,1.0,,0.1490420016262548,-0.08811535312658714,-0.07992582075224146,0.0369344431160268,-1.0,,0.07992582075224146,-0.06419407387663693,-0.14618811865091183,,0.03428788416616995,-0.007245182077084174,0.06419407387663693,0.06632351409960018,,0.06800627621363665,,,0.21639136738568904,,-0.10347699729098507,-0.17470901015591683,-0.04111711414037298
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,0.1490420016262548,,1.0,0.12552078528633406,0.01185091026591129,-0.3854872900747445,-0.1490420016262548,,-0.01185091026591129,-0.12917697432399192,-0.8586785275411061,,0.03951652267457095,-0.10704920086037584,0.12917697432399192,0.1291567951511243,,-0.04928895513319508,,,-0.10317678503213902,,-0.14121295224441344,0.061826925638080815,0.011583527431071662
robotSpeech,-0.08811535312658714,,0.12552078528633406,1.0,0.3073854032613908,-0.2644463895599583,0.08811535312658714,,-0.3073854032613908,0.24214919234076565,-0.040730532287990194,,0.14311252468032928,0.31161895669789696,-0.24214919234076565,0.06076995271412542,,-0.11966526107748668,,,-0.423178159245961,,-0.6609659083727608,0.15235541924999008,-0.2725321761791502
acrobaticMovements,-0.07992582075224146,,0.01185091026591129,0.3073854032613908,1.0,-0.2895046956424838,0.07992582075224146,,-1.0,0.11877268690255602,0.11831558105713097,,0.23983853066362504,0.2548129831541738,-0.11877268690255602,-0.018427365468415988,,-0.10716162183665584,,,-0.10463391326905874,,-0.1628251525187329,0.09801242428617335,-0.3147947764332571
movementsRepetition,0.0369344431160268,,-0.3854872900747445,-0.2644463895599583,-0.2895046956424838,1.0,-0.0369344431160268,,0.2895046956424838,-0.05422501623941844,-0.0680627666931373,,-0.1762731903298336,0.011305963333558369,0.05422501623941844,-0.08560507194614755,,0.1713660176714364,,,0.34943153501813806,,0.02083447386913195,-0.17596805222961334,0.11571175687824929
movementsTransitionsDuration,-1.0,,-0.1490420016262548,0.08811535312658714,0.07992582075224146,-0.0369344431160268,1.0,,-0.07992582075224146,0.06419407387663693,0.14618811865091183,,-0.03428788416616995,0.007245182077084174,-0.06419407387663693,-0.06632351409960018,,-0.06800627621363665,,,-0.21639136738568904,,0.10347699729098507,0.17470901015591683,0.04111711414037298
humanMovements,,,,,,,,,,,,,,,,,,,,,,,,,
balance,0.07992582075224146,,-0.01185091026591129,-0.3073854032613908,-1.0,0.2895046956424838,-0.07992582075224146,,1.0,-0.11877268690255602,-0.11831558105713097,,-0.23983853066362504,-0.2548129831541738,0.11877268690255602,0.018427365468415988,,0.10716162183665584,,,0.10463391326905874,,0.1628251525187329,-0.09801242428617335,0.3147947764332571
speed,-0.06419407387663693,,-0.12917697432399192,0.24214919234076565,0.11877268690255602,-0.05422501623941844,0.06419407387663693,,-0.11877268690255602,1.0,0.1721055473665405,,0.22457675422484583,0.07053982594841414,-1.0,-0.22652710790418149,,-0.07705660202443673,,,-0.25503468321841744,,0.00847624714642898,0.207735188735909,-0.2001601922563589
