,stability_rho
timeDuration,0.9335229970652112
nMovements,1.0
movementsDifficulty,0.9077708505611377
robotSpeech,0.9309291322569002
acrobaticMovements,0.9305365216450052
movementsRepetition,0.9406883568102263
movementsTransitionsDuration,0.9335229970652112
humanMovements,1.0
balance,0.9305365216450052
speed,0.9726884503200433
bodyPartsCombination,0.9240317614316793
musicBPM,1.0
sameStartEndPositionPlace,0.9531281566719454
headMovement,0.9506058460971094
armsMovement,0.9726884503200433
handsMovement,0.9637896587811049
legsMovement,1.0
feetMovement,0.9482437426129924
musicGenre_electronic,1.0
musicGenre_folk,1.0
musicGenre_indie,0.9264614019175956
musicGenre_latin,1.0
musicGenre_pop,0.937297337124936
musicGenre_rap,0.9270981117207153
musicGenre_rock,0.9289330945481299
