,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.014947289073153949,0.013466610038290394,0.014790728480903681,0.014293779727531885,0.014786401290687853,0.013539854594570602,0.015108844434734606,0.010766005861569058,0.014036691182284329,0.020735769448359514,0.01415941589467014,0.02088805553931236,0.011323706391134976,0.015379535801760415
nMovements,0.02767448027540382,0.031262958514011376,0.029088955198547036,0.025013367650580234,0.028068414862454993,0.031035670487024655,0.028553083538504713,0.02580361164335642,0.027563591434440187,0.03497475855088245,0.027751690878380777,0.03453605579491077,0.023186126222296034,0.029329420779302624
movementsDifficulty,0.0033141129652135993,0.002657894520841839,0.003172314666286366,0.003321463659488693,0.0032547871837347027,0.002541944736934169,0.003243645360075842,0.0028037261683735368,0.003168865915521177,0.003502349371042113,0.0031252811412681623,0.004086527638306265,0.003046903466954652,0.0032330473274676716
robotSpeech,0.000969523231028987,0.0008382184142278274,0.0009697330275035745,0.0008537711010244539,0.0009512459181542698,0.0008943998097771199,0.0009641320837514967,0.0007850882440812358,0.0009355744365977345,0.0010521495408574127,0.0009404801767178793,0.0010226579631127126,0.0008256527907350541,0.0009717134076762476
acrobaticMovements,0.007004457809359436,0.007236873898111087,0.006989090327016603,0.007270846859244588,0.0071271069645871595,0.006018588824217372,0.0070856235590205366,0.006653990846666047,0.007067674905329962,0.006829438164850864,0.007027650549238125,0.007237782710568379,0.007471346538832222,0.006957359915079858
movementsRepetition,0.0035563078615111943,0.0034324139314630677,0.0035098584549354992,0.003638398536592027,0.0034732937758677578,0.0043003353958576095,0.0035886225299178115,0.00302879230380141,0.0034564446571870014,0.0042584727332436465,0.003502962457444422,0.0039074419216819185,0.003118570054563803,0.0036198746793346466
movementsTransitionsDuration,0.014096900550435783,0.01489821510035235,0.014323580777183298,0.013868391994535104,0.014384481771340153,0.01237410884200713,0.014541309339070201,0.011333198448558469,0.01325640224543144,0.023233786605270174,0.013872158579878736,0.018436821927012754,0.011389650847165714,0.014813676457474953
humanMovements,0.004196607590284573,0.003992417488845541,0.004095547596539128,0.00443240753539812,0.004086074803247635,0.005097178765421322,0.0042647150587897895,0.0031868608463445874,0.004158993028630528,0.0041854184384635985,0.0041941184741674815,0.0037840777035911626,0.0036969348013674375,0.004256209569893348
balance,0.007095157145993336,0.006886209064086578,0.007071140536551675,0.007010824264237469,0.007276734713005486,0.004365369979103805,0.007043381915017603,0.007209918560211562,0.006947457607758036,0.008088685419988476,0.007030483596792604,0.007393863944215114,0.008193783827454823,0.006828280408841359
speed,0.004929764872205636,0.004523757874950721,0.004904138644253423,0.004679606791625914,0.004874176556424964,0.004685991525605716,0.004956793660008474,0.003946468053380424,0.004898186751401725,0.004509846524407468,0.004766725338787285,0.0059438113908911,0.004777259296187053,0.004876998411427863
bodyPartsCombination,0.003333424187613262,0.0032441100942829128,0.003310275937388231,0.0033502097393125854,0.0033134422744913283,0.0033758692717715624,0.0033680503545136927,0.002846052833132845,0.0032920616355335518,0.0035577584856853373,0.0032990869959892933,0.0035387605474919404,0.002876046674882078,0.003408130041021211
musicBPM,0.051040962135935515,0.05158426344274634,0.051264578847457845,0.05059925605178262,0.05040465756262117,0.06017306867873971,0.05197384735920622,0.043198026087964574,0.05209817910802385,0.04226282609637483,0.05128296903054136,0.04940745996324689,0.046238670811856994,0.05213112721190824
sameStartEndPositionPlace,0.002504666592563038,0.001865867254788335,0.002450668622544206,0.0021671731323850245,0.0024171169817602295,0.0021222187599653354,0.002441208822782421,0.0019592552380154516,0.0022913278889770228,0.00334999177374292,0.002326213324264932,0.00319431550483253,0.0021382009801318093,0.0024474109902451265
headMovement,0.0028119491392505527,0.00212027475558898,0.002684745444589001,0.002728420634628876,0.002709913542142703,0.0024875443596923223,0.0026967367790147216,0.0026608935878422325,0.0027006331657018156,0.0026258909625234343,0.002701573780059947,0.002597390668708466,0.002400181176949727,0.002753002819215959
armsMovement,0.005351945319174812,0.005447762299965248,0.005594698075227734,0.00444020988617318,0.005313924755938026,0.006043123488283581,0.0054540371763178355,0.004558822232471752,0.005404352950202233,0.0050373500500318896,0.0051103845136840275,0.008361894903122167,0.005485270568123457,0.005344575845970653
handsMovement,0.0017586762722026092,0.002361582268167169,0.0018960422358738978,0.0017228550367101875,0.001881961049004689,0.0016159005441204494,0.0018844346127401986,0.0016509258757411395,0.0018452100785103507,0.002017444714237215,0.0017933284177538448,0.002659950368774175,0.0014278725332543874,0.0019505213895541287
legsMovement,0.009000209903140693,0.00903608049175375,0.008589077345053786,0.010717729599854996,0.009022109821032022,0.008811246491239188,0.008997581471494653,0.009089356379382234,0.00905747516988888,0.008536006633257136,0.009183341318685829,0.006952890633449643,0.007610175476855021,0.009290698622715908
feetMovement,0.0016374774113636214,0.0015724945715833605,0.0016509756485587506,0.0015252585847258615,0.0015930512649583474,0.0020386876715461706,0.0016329008550557186,0.0015642378222285676,0.0016119280033577285,0.0017588728273261992,0.0015853344268469758,0.00210201178395089,0.001359386490705721,0.0016806946951384762
musicGenre_electronic,0.00042135544743170187,0.0015483936022153348,0.0006818316839036595,0.00033925117257465037,0.0006277843625854303,0.00045223793237369146,0.0006323410305822518,0.00044770644513314126,0.0006368187344398327,0.0004108969700020486,0.000621228197195508,0.0005386349943368634,0.0003634425365468407,0.0006658385665770657
musicGenre_folk,0.0004843096956208198,0.00028836550428924064,0.00029868565411467847,0.0010741380793826596,0.0004657588746544861,0.0002641066471920794,0.0004704086904146907,0.00026442534085262893,0.0004673011429553713,0.00029792654186665117,0.0004539618588440414,0.00041284862343164756,0.00028351506077963466,0.00048474709158462573
musicGenre_indie,0.0012907056583572223,0.0003852974836419368,0.0013189765611940423,0.0003825291480136783,0.0003947219309769158,0.010312894629129663,0.0012142746799065343,0.0003899618366027958,0.0012126501920241778,0.00042453748921789564,0.0011997082324238433,0.0003892640021556017,0.0004278665146000627,0.0012794931220673936
musicGenre_latin,0.0002081188842500065,8.867099929171223e-05,0.00021439361857467592,7.786810425853915e-05,0.00019318390538640168,0.00011881574596827705,8.657343845380608e-05,0.0011427393891669105,0.00019905357891995614,8.250747866976363e-05,0.00019405493145215457,0.0001130838793770044,7.016494165190246e-05,0.00021155214631160172
musicGenre_pop,0.0009522285956025312,0.0005856546347988102,0.0009528667703479097,0.0006288591037113768,0.0009126354109693034,0.0006008383327275623,0.0009167857884752306,0.0006300554649380235,0.0006213734419525857,0.003355379328141339,0.00090661477942174,0.000689036371021597,0.0005913224828325147,0.0009500446266608244
musicGenre_rap,0.0016578054344749348,0.0004965837697502309,0.0016842072343602067,0.0005334576675970552,0.0015372755823222367,0.00048406462263990587,0.0015644021263132553,0.0004588783504599322,0.00152735300864274,0.000826140439876783,0.0005407447907429126,0.01210870636374014,0.000517858791462239,0.0016502108818377298
