,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,1.0,-0.3957085702540709,0.07148407601578778,0.050679340500312385,,0.011242887457313935,-0.029972805832571867,0.041023348580902314,,,-0.20220825614456236,-0.11690202466680381,-0.42400647489843485,-0.0858249008756915,0.0858249008756915,0.14378121068502805,0.11791202153518285,0.022500075317014662,0.06919505540723592,0.009524986100600846,-0.08909178765168996,-0.11404015466260539,-0.14378121068502805
robotSpeech,,,-0.3957085702540709,1.0,-0.04915185454670543,-0.0825374873469117,,0.03203707877845383,0.04105459567991188,-0.1445264227177033,,,-0.23149620065012302,0.11716676528988368,-0.16086592596083965,0.1840568185321498,-0.1840568185321498,-0.015120897635788388,-0.1701221328902202,-0.4598616649730295,-0.2331354024771032,-0.031066225666269442,0.24964213749502304,0.16492672833308397,0.015120897635788388
acrobaticMovements,,,0.07148407601578778,-0.04915185454670543,1.0,-0.004796829821934539,,-0.11331766959930473,0.0643214190238381,0.0027473838629843584,,,-0.0305147633449815,-0.7655240758009445,-0.08376141477111976,-0.05523582034690052,0.05523582034690052,-0.044023546379880346,0.019047234492324712,0.016737782523736613,-0.06059577227200495,0.0875242555808098,0.030107014237717094,-0.005901887022520955,0.044023546379880346
movementsRepetition,,,0.050679340500312385,-0.0825374873469117,-0.004796829821934539,1.0,,-0.02547134367490783,-0.08812852994709112,-0.01706353448036744,,,-0.11923675118720722,-0.001016001016001524,0.11329425562573761,-0.05405484375805132,0.05405484375805132,0.0,0.04503861439057097,0.17525465229102227,-0.04152523477322605,-0.6355020756500951,0.06851337410064227,-0.04353434602367126,0.0
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,0.011242887457313935,0.03203707877845383,-0.11331766959930473,-0.02547134367490783,,1.0,-0.058580871347678504,0.0832758410261382,,,0.07153274053328708,0.1042993379918047,-0.0482985373828099,0.01559172039535997,-0.01559172039535997,-0.18594589926220545,0.11120550651862217,-0.03070312316532516,-0.10523438013963406,-0.7122478644541539,0.1449432145281498,-0.12166493318924475,0.18594589926220545
balance,,,-0.029972805832571867,0.04105459567991188,0.0643214190238381,-0.08812852994709112,,-0.058580871347678504,1.0,0.18952879740011563,,,-0.2090396586546044,-0.17389715077200235,-0.09363955986777374,0.15801851743453288,-0.15801851743453288,0.10013854865061475,0.07128762751186705,-0.40868794443627304,-0.05328056608456869,0.14378858303710482,0.012394936707428417,-0.07562543496879025,-0.10013854865061475
speed,,,0.041023348580902314,-0.1445264227177033,0.0027473838629843584,-0.01706353448036744,,0.0832758410261382,0.18952879740011563,1.0,,,-0.0019804296760945537,-0.5126073609233524,0.14057115033896894,0.18483138757618495,-0.18483138757618495,-0.20444272988899861,0.08407444517024106,-0.08425515772514605,0.032833120173845785,-0.06388420700868327,-0.03857348456852648,-0.09353847846489691,0.20444272988899861
bodyPartsCombination,,,,,,,,,,,,,,,,,,,,,,,,,
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
