,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,0.8022121171051
robotSpeech,0.7871457886089277
acrobaticMovements,0.9174983224017426
movementsRepetition,0.9109316109207204
movementsTransitionsDuration,1.0
humanMovements,0.9068800307596234
balance,0.8718747334984863
speed,0.9329266483703512
bodyPartsCombination,1.0
musicBPM,1.0
sameStartEndPositionPlace,0.8327748285566495
headMovement,0.900038857588411
armsMovement,0.8679328771354319
handsMovement,0.9305365216450052
legsMovement,0.9305365216450052
feetMovement,0.9804876864331679
musicGenre_electronic,0.9277001194518778
musicGenre_folk,0.809536817793507
musicGenre_indie,0.9227135621651931
musicGenre_latin,0.8670532994962824
musicGenre_pop,0.9251523173226077
musicGenre_rap,0.9279153782267486
musicGenre_rock,0.9804876864331679
