,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.05328823393192315,0.05576180728941428,0.05449646893260956,0.05049740874191283,0.05353238762283973,0.05594450591089766,0.053096755819482325,0.05953226833061642,0.054190296127690406,0.04931586733934129,0.053943486749080796,0.05103265762036204,0.051225541329759476,0.05421900037976713
nMovements,0.19787020919213621,0.20513244102857595,0.1988509972058719,0.2002022635879265,0.20075517113324892,0.17880416638985605,0.19719054611437067,0.21731273315829266,0.1975664274994975,0.21337462976792454,0.20084413260298864,0.17906318726263362,0.19658039501842384,0.1996322473032947
movementsDifficulty,0.0055679436951183384,0.004806738369595692,0.0053235677557654645,0.005904121310370145,0.0054577262568276125,0.00518521315937953,0.005360369567376029,0.006165172550587386,0.0054710339947588406,0.005127634356142906,0.005415167343404218,0.005695051910568523,0.005461336151001496,0.005432495536473838
robotSpeech,0.005576595825124197,0.005522750246092586,0.005648314464010437,0.005235349144705929,0.005402070207558116,0.007615400740940714,0.005712421365553208,0.00419635077695192,0.00554232028994686,0.005797782593867525,0.0053319369111134406,0.008298957340371895,0.0044550534203509455,0.005793882831549024
acrobaticMovements,0.005069155751518698,0.0038684039975722044,0.004915531017941108,0.00464854226107123,0.004825043101941541,0.005335887365339822,0.004970453948597604,0.0038494409885152263,0.004972212340945767,0.003859950377027524,0.004780110885149577,0.005827183571152543,0.006857240796696092,0.004457101201826483
movementsRepetition,0.0036657633596332536,0.0032796672003985563,0.003582237664977854,0.0036704840037408196,0.0036044506039966274,0.00353865210670115,0.003579651409034939,0.003787478314586845,0.003612917102463933,0.0034764064713521123,0.003541827418235981,0.004269135747206026,0.0037573805958146323,0.003567391681748701
movementsTransitionsDuration,0.039736467488114456,0.038256790316725416,0.03939265623260209,0.03985178540986337,0.03799753102429476,0.057884343607096184,0.03988701373828266,0.0356610298286688,0.040388798570743394,0.031144033308753028,0.03944793311772361,0.03988560092994079,0.03833416176008647,0.03971655426672383
humanMovements,0.0038510932124531726,0.0033323563776926648,0.0038197348633384957,0.0035258050447758995,0.0037967179897374966,0.003333362539074046,0.0038225236652514303,0.0031911796072282292,0.003708857436128109,0.004252211550423173,0.0037821230004771392,0.0035299635439134,0.004718392289430586,0.0035673675370718264
balance,0.005994661731109524,0.005449543592595393,0.006173095966051124,0.004785890574940833,0.005780056855226357,0.0074016820469498135,0.005861925956659785,0.006271952692536032,0.005941573186803041,0.005529245997625455,0.005856445754147484,0.006419956429072378,0.006450509794835885,0.005789282046275398
speed,0.004631147579632248,0.0036029917402808013,0.004490091352912291,0.004310009673830998,0.00435137541560147,0.005736154106065745,0.004524475929168414,0.0037961673445689533,0.00448539533571855,0.00417314253392544,0.004423712445285494,0.004815374235734131,0.005032720094331065,0.00433709291247496
bodyPartsCombination,0.009206064742719578,0.008652428914749,0.009072807132994189,0.009268148233130989,0.009047946726565097,0.009893613494263674,0.009007400851375295,0.010091187292477412,0.008793967841910126,0.012029474714315166,0.009118634829694317,0.009023678487796845,0.007601120650447808,0.009418610285792231
