,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,1.0,,,,-0.07996949438056782,,,-0.14193843787544003,,,-0.022708929485602037,-1.0,-0.11552336348059808,,0.10875005437504079,,,,0.14193843787544003,,0.07935196008581541,0.07317050618149497,-0.07935196008581541,-0.1602309580380961,0.1952102467132687
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,,,,,,,,,,,,,,,,,,,,,,,
robotSpeech,,,,,,,,,,,,,,,,,,,,,,,,,
acrobaticMovements,-0.07996949438056782,,,,1.0,,,-0.1082686456652504,,,0.23323367303121734,0.07996949438056782,0.059869703094804806,,0.15791337891018936,,,,0.1082686456652504,,0.11007411511163522,-0.17659096902056312,-0.11007411511163522,-0.5936450569844431,0.01302355051533822
movementsRepetition,,,,,,,,,,,,,,,,,,,,,,,,,
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,-0.14193843787544003,,,,-0.1082686456652504,,,1.0,,,-0.11947587381449928,0.14193843787544003,-0.11851221811433987,,0.1899137248342249,,,,-1.0,,-0.025341959828103538,0.12829971493423625,0.025341959828103538,-0.013282564020005497,-0.12580855934939952
balance,,,,,,,,,,,,,,,,,,,,,,,,,
speed,,,,,,,,,,,,,,,,,,,,,,,,,
bodyPartsCombination,-0.022708929485602037,,,,0.23323367303121734,,,-0.11947587381449928,,,1.0,0.022708929485602037,0.21914917692767127,,-0.06311987954733661,,,,0.11947587381449928,,-0.08672115693265493,-0.845024784805405,0.08672115693265493,-0.0940764513510911,0.01223033095840581
musicBPM,-1.0,,,,0.07996949438056782,,,0.14193843787544003,,,0.022708929485602037,1.0,0.11552336348059808,,-0.10875005437504079,,,,-0.14193843787544003,,-0.07935196008581541,-0.07317050618149497,0.07935196008581541,0.1602309580380961,-0.1952102467132687
sameStartEndPositionPlace,-0.11552336348059808,,,,0.059869703094804806,,,-0.11851221811433987,,,0.21914917692767127,0.11552336348059808,1.0,,0.23211045467332564,,,,0.11851221811433987,,-0.023036052181727513,-0.6841959080067563,0.023036052181727513,-0.2020566004242248,0.014870015945357034
headMovement,,,,,,,,,,,,,,,,,,,,,,,,,
armsMovement,0.10875005437504079,,,,0.15791337891018936,,,0.1899137248342249,,,-0.06311987954733661,-0.10875005437504079,0.23211045467332564,,1.0,,,,-0.1899137248342249,,-0.0908332422273643,-0.05481766900033875,0.0908332422273643,-0.7347264485671342,-0.033915950740995196
handsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
legsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
feetMovement,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_electronic,0.14193843787544003,,,,0.1082686456652504,,,-1.0,,,0.11947587381449928,-0.14193843787544003,0.11851221811433987,,-0.1899137248342249,,,,1.0,,0.025341959828103538,-0.12829971493423625,-0.025341959828103538,0.013282564020005497,0.12580855934939952
musicGenre_folk,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_indie,0.07935196008581541,,,,0.11007411511163522,,,-0.025341959828103538,,,-0.08672115693265493,-0.07935196008581541,-0.023036052181727513,,-0.0908332422273643,,,,0.025341959828103538,,1.0,0.07983556743212736,-1.0,-0.009971082209191583,0.0587166696675965
musicGenre_latin,0.07317050618149497,,,,-0.17659096902056312,,,0.12829971493423625,,,-0.845024784805405,-0.07317050618149497,-0.6841959080067563,,-0.05481766900033875,,,,-0.12829971493423625,,0.07983556743212736,1.0,-0.07983556743212736,0.14714050515858543,-0.0251549941880772
musicGenre_pop,-0.07935196008581541,,,,-0.11007411511163522,,,0.025341959828103538,,,0.08672115693265493,0.07935196008581541,0.023036052181727513,,0.0908332422273643,,,,-0.025341959828103538,,-1.0,-0.07983556743212736,1.0,0.009971082209191583,-0.0587166696675965
musicGenre_rap,-0.1602309580380961,,,,-0.5936450569844431,,,-0.013282564020005497,,,-0.0940764513510911,0.1602309580380961,-0.2020566004242248,,-0.7347264485671342,,,,0.013282564020005497,,-0.009971082209191583,0.14714050515858543,0.009971082209191583,1.0,-0.4051146127036983
musicGenre_rock,0.1952102467132687,,,,0.01302355051533822,,,-0.12580855934939952,,,0.01223033095840581,-0.1952102467132687,0.014870015945357034,,-0.033915950740995196,,,,0.12580855934939952,,0.0587166696675965,-0.0251549941880772,-0.0587166696675965,-0.4051146127036983,1.0
