,stability_rho
timeDuration,0.9547089186342161
nMovements,1.0
movementsDifficulty,1.0
robotSpeech,1.0
acrobaticMovements,0.9521438636096707
movementsRepetition,1.0
movementsTransitionsDuration,1.0
humanMovements,0.9335229970652111
balance,1.0
speed,1.0
bodyPartsCombination,0.9209246324516052
musicBPM,0.9547089186342161
sameStartEndPositionPlace,0.9320633779513243
headMovement,1.0
armsMovement,0.9194642068021057
handsMovement,1.0
legsMovement,1.0
feetMovement,1.0
musicGenre_electronic,0.9335229970652111
musicGenre_folk,1.0
musicGenre_indie,0.9308167304449639
musicGenre_latin,0.8900890379424347
musicGenre_pop,0.9308167304449639
musicGenre_rap,0.8872967604635066
musicGenre_rock,0.9350602454795853
