,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.08936477053284962,0.08640992422519674,0.08959659924502555,0.08582850630716998,0.08893090305458694,0.0879537471428084,0.08862091247135898,0.09109803383078076,0.08799121441621742,0.09683377613917939,0.08926245883188685,0.08416420472159548,0.07848566040487263,0.09097026008528175
nMovements,0.24498099438701598,0.24346641929525764,0.24131605691616176,0.25868634783302735,0.24659315442403879,0.22152653426439617,0.24359441944568147,0.2553706656192813,0.24061233452409256,0.282532560286435,0.2459212318329925,0.23079731963166375,0.2227051539549789,0.24920480664004505
movementsDifficulty,0.016458616766739216,0.01695110901230773,0.01658235509876611,0.016382073012763215,0.016487409720695307,0.017233047198167248,0.016413915990574235,0.017763976054866366,0.016637721173853925,0.015672291211964135,0.01662693663320005,0.015570263611753572,0.015454255855322608,0.016764836840129634
robotSpeech,0.000327531071189581,0.00028813999999737443,0.00031279748355987033,0.0003534891331634884,0.00032046186649689026,0.00032464656894035213,0.00031185074400348265,0.00040511358465265373,0.0003237457616578255,0.0002934305569371125,0.0003157710835528862,0.00037882728854396307,0.00026003671422347843,0.0003331437036261409
acrobaticMovements,0.0046344458396323385,0.0035684400702258273,0.004200548385608291,0.005481186897488353,0.004453943852217281,0.0044224962758414674,0.004555088524346156,0.003473458903583998,0.004408982058766376,0.004843739345663682,0.004242690069854376,0.006875511343339038,0.0039592378703814084,0.004551864810754006
movementsRepetition,0.011008079751599863,0.010945474822841129,0.010921330859579857,0.011309074168708489,0.011088757850692028,0.00986463198429334,0.010855906071473912,0.012334075819527661,0.011050785459956716,0.010505526929131129,0.010870830690315851,0.01246523541079916,0.01061663071905178,0.01107487355102674
movementsTransitionsDuration,0.06081109059631152,0.06036421905993822,0.06037707779272409,0.06220004717860245,0.06019129932231881,0.06746428379052022,0.06075955236619393,0.06049709074868053,0.06164878059599241,0.052320322910595234,0.05855510911515883,0.08602107990193844,0.05356614425405171,0.062194274730835095
humanMovements,0.002190940435958166,0.002153666754759853,0.002253050257396543,0.001903601756748685,0.0021858583154226725,0.002168298099215918,0.0021794459221954115,0.0022327577168116254,0.002121748594268765,0.0027624411798838305,0.0022174156413482093,0.001803173256709723,0.0025856407142900617,0.00210286350970216
balance,0.013682759746677438,0.014966333854871642,0.014107083087652223,0.013065656246516314,0.013769670254313821,0.01555409351775381,0.013881649091558878,0.014104054278646003,0.013989363341165868,0.013107531358165427,0.014084525195443287,0.011795884082387548,0.014226556497018839,0.013837022197667671
speed,0.0006025779883241576,0.00037734183622009377,0.0005995515767543916,0.0004179082455400583,0.0005762697870656013,0.0004112137576794339,0.0005801011849373148,0.0004112341866839861,0.0005589466498121065,0.0006099269205922261,0.00055324372321594,0.0006880930002518973,0.0011141887765567442,0.0004518851812272156
bodyPartsCombination,0.002959453715349655,0.0027529198142807187,0.0029031193705954237,0.0030097744301028364,0.002922953566595342,0.002937330816990879,0.002925905266030781,0.002906277675898398,0.002995267043472064,0.0022684514999240326,0.002858481144749959,0.0036845548145559895,0.00328265757477493,0.0028509915762010645
musicBPM,0.09151152042413212,0.10072642862544412,0.09384066701807682,0.09002229127154282,0.09357922593488761,0.08705684910481692,0.09305850122746007,0.09341007387551895,0.0940335191495721,0.08442921674351078,0.09331807671794656,0.09047061733256322,0.10429767377847453,0.0908101149033642
sameStartEndPositionPlace,0.002754687840982181,0.0027448408805631963,0.0026643766244451306,0.003116455251770491,0.0027600459551748576,0.002665680220101195,0.0027095902863133246,0.0031632622517964787,0.0028088311826845497,0.0022392080038688227,0.0027696916273540475,0.00255931297879108,0.0026539475809173557,0.002773170754644833
headMovement,0.012278269854643788,0.011805373463390839,0.012069888916330982,0.012719095431925561,0.012347594835052243,0.01033310612061143,0.011672760297113133,0.017153320312839844,0.012385747185081642,0.010461653831517172,0.012228202256964395,0.011836910517215395,0.0105503233245447,0.012532534570023264
armsMovement,0.0038072594742566963,0.0035455786769505444,0.0036959544673446916,0.004034771810913643,0.0037832240845403742,0.0035040248936479648,0.0037783846436355724,0.0036110511392245994,0.0038351729802214777,0.00309244736336647,0.0036716388269258334,0.004815165555727994,0.003633295486051417,0.003788660739826588
handsMovement,0.020531239150333218,0.025311372746605762,0.022240522184754884,0.01770376074518762,0.021391553257097615,0.020850779025143998,0.021083694204915245,0.023879129044857464,0.021680767360464752,0.01831807643867121,0.021499458877777527,0.019630566704722966,0.021925899883533505,0.021234123746313602
legsMovement,0.018438393790908246,0.01748175710497791,0.018439011539751447,0.017598803185046665,0.01829084843194208,0.018069298116352005,0.018142214751565803,0.019522700652598764,0.01832123412935345,0.01784242742840932,0.01840541092191958,0.01675306865561839,0.02040010129788137,0.01784138089576377
feetMovement,0.006500213677942548,0.0056085644038132735,0.006471568929428959,0.005837498132876219,0.006138966926525863,0.008928279780699312,0.006312541514009273,0.006675500065153403,0.006327159675485126,0.006532336304163825,0.006223751107390496,0.007780456690715631,0.006103613556901607,0.006396891450771107
musicGenre_electronic,0.0015060380328920878,0.005584374653279118,0.0023782273566408238,0.0014975680277374123,0.002260216633093355,0.001528723239724741,0.0022840382845274306,0.001464151303373844,0.0022958152856553935,0.0013752959711166024,0.0022606288169125604,0.0015669697182559453,0.0015766807361370446,0.0023336676554010414
musicGenre_folk,0.0008568310013805803,0.0005089269829799141,0.0005052213203032706,0.0019944332606506333,0.0008149741287849674,0.0005763717711215578,0.0008322910981973811,0.0004650814192108354,0.000822441983366892,0.0005644598135196638,0.0008245423741345633,0.00047938741597189485,0.0004528279561962898,0.0008672784042553326
musicGenre_indie,0.0013387506654101568,0.0003491579946639336,0.0013733596514722238,0.00033091903447885195,0.00035184564202908576,0.011294150055121006,0.0012530908014685405,0.00037431495754501105,0.0012602415320556932,0.00032943444497331734,0.0012360152677223864,0.00039151693270361986,0.00037468397155492397,0.0013307725025018904
musicGenre_latin,0.003180942510267285,0.0011497388071651596,0.0032357063005007836,0.0011790425351071972,0.0029588851846626897,0.0012669505547739843,0.0011937568490599062,0.01832096620636127,0.002988276276681066,0.0013993241079593378,0.0029788642084532034,0.0011346606834334073,0.0011565264257068488,0.0031738545719319634
musicGenre_pop,0.0011900825762492448,0.0008408000048768282,0.0012021813330398783,0.0008348410201748867,0.0011570766366240754,0.0007967883907963368,0.0011572329808249996,0.0008743984111522257,0.0008198528634932469,0.003985832933018782,0.0011642543023908237,0.0007346997833455509,0.0006900904374618631,0.0012197937028397303
musicGenre_rap,0.0044269215480675,0.0018350162326493291,0.004532473973212602,0.0017261137963327025,0.004147139230816937,0.001940316801399149,0.004232040792848782,0.0016223179374338073,0.004181807311244803,0.0021467218301802946,0.00186071357017809,0.028599392330247858,0.0020594732771087683,0.004373929859756468
musicGenre_rock,0.003840224517767476,0.0024313169959538565,0.003935698985357698,0.002215871458980213,0.0036883480504916405,0.0024859844059415084,0.003742122485786352,0.0022416838967768767,0.003722107539863787,0.0024615937822073603,0.0037129493123996145,0.0022712646843651508,0.009758405898156242,0.0023440929084093754
