,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,,,,,,,,,,,,,,,,,,,,,,,
robotSpeech,,,,1.0,-0.11187866958503125,0.09067151284472046,,0.01273312203464496,,-0.07635278148329297,-0.02438583222203054,,0.13680648715800608,-0.1883753154850048,0.05969690752892787,0.09067151284472046,,-0.09067151284472046,-0.010043606327401814,0.34109759593966266,-0.9965997005003892,-0.02105029603474038,,,0.1883753154850048
acrobaticMovements,,,,-0.11187866958503125,1.0,-0.15922575769373185,,-0.2521999370939925,,0.2800275196275271,0.10278196631677258,,0.19945288829904195,-0.08182597256331232,-0.9556951788447254,-0.09079815934601237,,0.09079815934601237,0.15552426874488948,-0.038161545232382015,0.11149824860082415,-0.15998496487552982,,,0.08182597256331232
movementsRepetition,,,,0.09067151284472046,-0.15922575769373185,1.0,,-0.03741865994309686,,-0.35437057866279753,0.11763956083519077,,0.16033396819808185,-0.08517439379162109,-0.06793833996826562,-0.030927835051546393,,0.030927835051546393,-0.13309427144487843,0.030927835051546393,-0.09036320254496559,0.01604088434006716,,,0.08517439379162109
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,,0.01273312203464496,-0.2521999370939925,-0.03741865994309686,,1.0,,-0.23768248232987568,0.043798384534559046,,-0.8691789061262304,0.00915246215181014,0.23048882359724063,-0.2210039602889158,,0.2210039602889158,0.03552109033959351,-0.09822398235062925,-0.003699572234411866,-0.056293545575943904,,,-0.00915246215181014
balance,,,,,,,,,,,,,,,,,,,,,,,,,
speed,,,,-0.07635278148329297,0.2800275196275271,-0.35437057866279753,,-0.23768248232987568,,1.0,-0.07437244216652619,,0.004992560387353593,0.0632407610876215,-0.17151537200344305,0.05530639088956956,,-0.05530639088956956,0.034306954415097346,-0.05530639088956956,0.07865809710778845,0.0031872167294086876,,,-0.0632407610876215
bodyPartsCombination,,,,-0.02438583222203054,0.10278196631677258,0.11763956083519077,,0.043798384534559046,,-0.07437244216652619,1.0,,0.02245803585555837,-0.08939052494285882,-0.11924891705147202,0.0035648351768239627,,-0.0035648351768239627,0.27426114901440646,-0.0035648351768239627,0.023886291721689604,-0.7009479549139138,,,0.08939052494285882
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,,,,0.13680648715800608,0.19945288829904195,0.16033396819808185,,-0.8691789061262304,,0.004992560387353593,0.02245803585555837,,1.0,-0.028095818413671182,-0.21083839580076394,0.23332181939273106,,-0.23332181939273106,0.0018828974110105029,0.18426441121272094,-0.14840226564721043,-0.06360474236659244,,,0.028095818413671182
headMovement,,,,-0.1883753154850048,-0.08182597256331232,-0.08517439379162109,,0.00915246215181014,,0.0632407610876215,-0.08939052494285882,,-0.028095818413671182,1.0,0.0938397741717272,0.06425436724631065,,-0.06425436724631065,-0.06934500918542283,-0.06425436724631065,0.1877347829940221,0.11950810397929962,,,-1.0
armsMovement,,,,0.05969690752892787,-0.9556951788447254,-0.06793833996826562,,0.23048882359724063,,-0.17151537200344305,-0.11924891705147202,,-0.21083839580076394,0.0938397741717272,1.0,0.09591295054343382,,-0.09591295054343382,-0.10712443148836209,0.03463523214068444,-0.06074496054141202,0.1275481192378419,,,-0.0938397741717272
