,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,1.0
robotSpeech,0.9432319568541356
acrobaticMovements,0.9350602454795853
movementsRepetition,0.9762246332253725
movementsTransitionsDuration,1.0
humanMovements,0.912527060461448
balance,1.0
speed,0.9601137982391268
bodyPartsCombination,0.9231041229130201
musicBPM,1.0
sameStartEndPositionPlace,0.9194642068021057
headMovement,0.9453235837905365
armsMovement,0.9335229970652112
handsMovement,0.9762246332253725
legsMovement,1.0
feetMovement,0.9762246332253725
musicGenre_electronic,0.9183027743773592
musicGenre_folk,0.9762246332253725
musicGenre_indie,0.9313805806740926
musicGenre_latin,0.8648722150721094
musicGenre_pop,1.0
musicGenre_rap,1.0
musicGenre_rock,0.9453235837905365
