,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.08793977333944945,0.08092696037248194,0.08917367361373384,0.07674310193988869,0.08581222442828927,0.09819387928328867,0.0872553167322077,0.08183697290613298,0.08706940462161532,0.0836768151578003,0.08720073200493864,0.08135477490981352,0.09545766050145622,0.08496087285541123
nMovements,0.33773508749021824,0.34252565989945444,0.33424081391050425,0.35625751987462567,0.34121875357911796,0.3055736333599077,0.33724203686293786,0.35098299456704585,0.33503779655725596,0.3709400879109017,0.3398860068987821,0.32313418647258496,0.3155820827152327,0.343235649058379
movementsDifficulty,0.0058373834433284024,0.007643028197904571,0.006343631644644165,0.005341102301757752,0.0061452417492282654,0.0061701669174550515,0.006058779975559828,0.006981864741417931,0.006159303391426853,0.006034831765264025,0.006171107494778833,0.0058685820069799485,0.0050809986434769295,0.006364217115942392
robotSpeech,0.00322384287348971,0.003291494173425817,0.0032534039712744833,0.003161802068233167,0.003245388533945595,0.003112265253944314,0.003281980967345169,0.002795644316814482,0.0031581730248364647,0.0039465516127702785,0.0031262045369833368,0.004502980941050579,0.0025326304433783025,0.0033785767828390964
acrobaticMovements,0.01156673249500086,0.010420169233604651,0.011136731733748384,0.012327004668082474,0.011392392054939198,0.01109340701912061,0.011556453239375878,0.009608459613099977,0.011625212360118363,0.00902209279070251,0.011191308397115268,0.013444156227449322,0.013272546542015581,0.010982620365446963
movementsRepetition,0.012433517462255022,0.011824642793056844,0.011722825826976159,0.014815433892820558,0.012520386206546105,0.009958650421708624,0.012343309168484912,0.012194576624446556,0.012224204160823817,0.013294167529328701,0.012440966543823692,0.011030842436816514,0.00990867934487198,0.01282199632552526
movementsTransitionsDuration,0.06215774991194558,0.058915897744029284,0.06134766439674882,0.0626434442648437,0.06051608420138929,0.07505288490862458,0.062358371526665686,0.054450017959606876,0.06212529595539749,0.05678316228965958,0.060484767796314384,0.07456114139061194,0.05593226837932825,0.06275626473434136
humanMovements,0.007845399298778945,0.007028463334767751,0.007612912287310954,0.008084053847539636,0.00768134311912713,0.008001758107438943,0.007802292148922869,0.006788307279618116,0.007511559775008268,0.009487879836458544,0.007796156822842989,0.0066507335164822205,0.008077122721222936,0.007629543283380035
balance,0.01749967222328577,0.02179957548211768,0.01915729012931645,0.014463880805387817,0.018207814025072284,0.018601693008154143,0.018040907354841026,0.020092703346370665,0.018631398909941504,0.014609922821659677,0.018216144144123685,0.018481869774861798,0.01970848816164903,0.017937604060344205
speed,0.007296982850653977,0.006813381358269971,0.007166661133208914,0.0074083057312444535,0.006942469107003561,0.010578857527752917,0.00719140281244331,0.007427898829102955,0.007224001042897402,0.007122286636551423,0.007151267783262904,0.007942273568170255,0.005669460750221082,0.007528585779280831
bodyPartsCombination,0.008507966816317101,0.008593558200184004,0.008555107574226211,0.008389526049823395,0.00861955629245122,0.007321896173411911,0.008370971111907616,0.009956181503460735,0.008725704435594896,0.006654047217825357,0.008510556168941384,0.008662951142903373,0.008399229644253806,0.008547782579487906
musicBPM,0.0949183168625162,0.09852574464644921,0.09586710920300122,0.09418363806277796,0.09549045714315504,0.09611495188894598,0.09675347994429656,0.08404076193395978,0.09735857134584808,0.07877516410802335,0.09503201760835316,0.10139746385917535,0.10570335042357507,0.09346671857302835
sameStartEndPositionPlace,0.007808338184426967,0.007700398413014603,0.00760361972576175,0.008553480277419331,0.007902504790002957,0.006393630924749233,0.007724793474699165,0.008404435789810278,0.007978928474762711,0.006049606746008586,0.007754977936209456,0.008194133617456401,0.008085143648489411,0.007729680967170412
headMovement,0.015868438180804502,0.013358938127414744,0.01568913856952081,0.014407967492269823,0.01560241202538181,0.013400660577709113,0.013240116992539038,0.036210540779065915,0.015809305289478562,0.01202097648016943,0.015570734823469478,0.013897724079172747,0.011391495338619034,0.01626206206320423
