,timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
timeDuration,,,,,,,,,,,,,,,,,,,,,,,,,
nMovements,,,,,,,,,,,,,,,,,,,,,,,,,
movementsDifficulty,,,1.0,-0.04775182090788386,-0.06857933451056734,-0.08868195311464146,,0.046234191109818905,-0.07888549025136085,,0.04542651749754463,,0.012331720418162663,-1.0,0.13414771752598856,,-0.15909903373339673,,0.05522223882036203,,,0.07860356312424518,,-0.07889302000752282,
robotSpeech,,,-0.04775182090788386,1.0,-0.09109931645126144,0.05263157894736842,,-0.06819494844913075,-0.11665362012617726,,-0.026960043819572788,,-0.6952778995643639,0.04775182090788386,0.06930355622313104,,0.14605714471387582,,-0.03277367626722311,,,0.014103544708549819,,0.046821975216925084,
acrobaticMovements,,,-0.06857933451056734,-0.09109931645126144,1.0,0.0009201951156693074,,-0.10948987308377678,-0.029528959421767132,,-0.05898303722400215,,0.1156102928271981,0.06857933451056734,-0.8622201314005824,,0.13286975684210428,,0.11173604513153361,,,-0.02374587030272286,,-0.27917046698563996,
movementsRepetition,,,-0.08868195311464146,0.05263157894736842,0.0009201951156693074,1.0,,0.06819494844913075,-0.05071896527225098,,-0.8537347209531383,,0.0073187147322564625,0.08868195311464146,0.019149666851128316,,0.03314772078612784,,0.03277367626722311,,,-0.09026268613471884,,-0.046821975216925084,
movementsTransitionsDuration,,,,,,,,,,,,,,,,,,,,,,,,,
humanMovements,,,0.046234191109818905,-0.06819494844913075,-0.10948987308377678,0.06819494844913075,,1.0,-0.08608896505892544,,-0.1285327188206882,,-0.3462713063720766,-0.046234191109818905,-0.0035400699556334134,,-0.05223646124005658,,0.1371945640383354,,,-0.5824492318513544,,0.14857684870865695,
balance,,,-0.07888549025136085,-0.11665362012617726,-0.029528959421767132,-0.05071896527225098,,-0.08608896505892544,1.0,,0.025980324998242266,,0.11644098717176148,0.07888549025136085,0.010149575959574428,,-0.5268372739332791,,0.03158269202038442,,,0.11199005993781969,,-0.04512048056510297,
speed,,,,,,,,,,,,,,,,,,,,,,,,,
bodyPartsCombination,,,0.04542651749754463,-0.026960043819572788,-0.05898303722400215,-0.8537347209531383,,-0.1285327188206882,0.025980324998242266,,1.0,,-0.003748944527807156,-0.04542651749754463,0.047582605374922315,,0.02939596036160602,,-0.5484084971070818,,,0.135000169259158,,0.023984127567777774,
musicBPM,,,,,,,,,,,,,,,,,,,,,,,,,
sameStartEndPositionPlace,,,0.012331720418162663,-0.6952778995643639,0.1156102928271981,0.0073187147322564625,,-0.3462713063720766,0.11644098717176148,,-0.003748944527807156,,1.0,-0.012331720418162663,0.0604597845850168,,-0.04619458545691538,,-0.004557362559215466,,,-0.05295176788341214,,-0.3025595209076952,
headMovement,,,-1.0,0.04775182090788386,0.06857933451056734,0.08868195311464146,,-0.046234191109818905,0.07888549025136085,,-0.04542651749754463,,-0.012331720418162663,1.0,-0.13414771752598856,,0.15909903373339673,,-0.05522223882036203,,,-0.07860356312424518,,0.07889302000752282,
armsMovement,,,0.13414771752598856,0.06930355622313104,-0.8622201314005824,0.019149666851128316,,-0.0035400699556334134,0.010149575959574428,,0.047582605374922315,,0.0604597845850168,-0.13414771752598856,1.0,,-0.1066473680839476,,-0.12208411197555034,,,0.0086868718299787,,-0.21374958328865795,
handsMovement,,,,,,,,,,,,,,,,,,,,,,,,,
legsMovement,,,-0.15909903373339673,0.14605714471387582,0.13286975684210428,0.03314772078612784,,-0.05223646124005658,-0.5268372739332791,,0.02939596036160602,,-0.04619458545691538,0.15909903373339673,-0.1066473680839476,,1.0,,-0.10965574138224894,,,-0.5310767589918418,,-0.05529148774081308,
feetMovement,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_electronic,,,0.05522223882036203,-0.03277367626722311,0.11173604513153361,0.03277367626722311,,0.1371945640383354,0.03158269202038442,,-0.5484084971070818,,-0.004557362559215466,-0.05522223882036203,-0.12208411197555034,,-0.10965574138224894,,1.0,,,-0.11416957709908485,,0.029156036901077473,
musicGenre_folk,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_indie,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_latin,,,0.07860356312424518,0.014103544708549819,-0.02374587030272286,-0.09026268613471884,,-0.5824492318513544,0.11199005993781969,,0.135000169259158,,-0.05295176788341214,-0.07860356312424518,0.0086868718299787,,-0.5310767589918418,,-0.11416957709908485,,,1.0,,0.07264574384780473,
musicGenre_pop,,,,,,,,,,,,,,,,,,,,,,,,,
musicGenre_rap,,,-0.07889302000752282,0.046821975216925084,-0.27917046698563996,-0.046821975216925084,,0.14857684870865695,-0.04512048056510297,,0.023984127567777774,,-0.3025595209076952,0.07889302000752282,-0.21374958328865795,,-0.05529148774081308,,0.029156036901077473,,,0.07264574384780473,,1.0,
musicGenre_rock,,,,,,,,,,,,,,,,,,,,,,,,,
