,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,0.9531281566719454
robotSpeech,0.9696242132169647
acrobaticMovements,0.9265274684102085
movementsRepetition,0.9696242132169647
movementsTransitionsDuration,1.0
humanMovements,0.9218512565217705
balance,0.9614763516256379
speed,1.0
bodyPartsCombination,0.9633630126474781
musicBPM,1.0
sameStartEndPositionPlace,0.9479257000840845
headMovement,0.9531281566719454
armsMovement,0.9227135621651931
handsMovement,1.0
legsMovement,0.9271647557498925
feetMovement,1.0
musicGenre_electronic,0.9804876864331679
musicGenre_folk,1.0
musicGenre_indie,1.0
musicGenre_latin,0.9176515071098791
musicGenre_pop,1.0
musicGenre_rap,0.9507042605282168
musicGenre_rock,1.0
