,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.05163777627754019,0.046706464553223574,0.05125991542268724,0.048872557858011145,0.04929186625959299,0.06937846097687723,0.05029948478512625,0.05544598460859206,0.050851822268540695,0.050240628961850484,0.051325499274337064,0.04460077233713865,0.04554495067449772,0.051860468537324705
nMovements,0.21585472395897665,0.2189434821470098,0.2139487272658499,0.22637424285900748,0.2168593932868397,0.21050073453156304,0.21484205895916353,0.2309628072333193,0.21499973892144886,0.2291279488119524,0.21724625587434232,0.20638602943570306,0.19854166913656965,0.2200182638506759
movementsDifficulty,0.010305341918989243,0.011353439396408824,0.01046492789376888,0.010567934731831579,0.010388092886867775,0.011687354601067458,0.010570416736008685,0.009678968089606423,0.01068625897247087,0.0086341686670771,0.010467839828666255,0.010685628366717378,0.01025219192909245,0.010532556915780976
robotSpeech,0.000513843851313193,0.0005189679313980072,0.0005362481067628925,0.0004264433023109594,0.0005197913095755532,0.0004519204977259506,0.0005234472285295224,0.0004322660760670083,0.0004925453020630235,0.0007188083553947292,0.0005208999226215054,0.00044304972646333403,0.0006279639271569667,0.0004916610265591486
acrobaticMovements,0.001138099034734132,0.0010247044583670086,0.0010784854293023343,0.00128336553126116,0.0011181535058984303,0.001124783435370774,0.001135007726277919,0.0009640351484853368,0.0011191887492282386,0.0011136781772351934,0.0010980242747199406,0.00135795172481106,0.001104847095665874,0.0011214593274854385
movementsRepetition,0.0026051149929137503,0.0028278594751656996,0.002645195879697561,0.002635637063729172,0.0026639112028070786,0.002388209437376646,0.0027011900170811386,0.0020963990802467768,0.002609461602023875,0.0029549186839722096,0.002644633288367322,0.0026281076955338534,0.0028338150775886993,0.002604527811190673
movementsTransitionsDuration,0.03374826312618054,0.028587492801146856,0.03235975077664313,0.03492714271577174,0.03236490486914892,0.03903529218940093,0.033182987061895465,0.029839186443753458,0.03241643086120961,0.036972942924306466,0.03141381482825031,0.04967835826275404,0.02679617634485878,0.034098571195719456
humanMovements,0.0006589813310338148,0.000763732079783974,0.0006885143432290389,0.0006295177278419334,0.0006688508798085233,0.0007772908292827198,0.0006873394773672179,0.000578747143934867,0.0006939456951027348,0.0005205397434266549,0.0006803392895812535,0.0006376126659212306,0.0006611100648176565,0.0006801747210164218
balance,0.0009223616286279282,0.0007049416595686627,0.0009050567726944582,0.0008030896660472658,0.0008484418385454837,0.0013388875361852117,0.0009104588105072885,0.0006450927090155327,0.0008567944533862688,0.0011452508073194801,0.0008909141644938745,0.0008172338896581682,0.0010845567973186098,0.0008444416357741907
speed,0.00028250833409699166,0.0002670458123898831,0.00027923440733716503,0.0002824056248504176,0.00024182670467090247,0.000751063669158612,0.00029363157484012145,0.00014966074547662227,0.00029961756938208094,9.800322021224672e-05,0.0002939281115025573,0.00011657899492146343,0.0003111745688807349,0.00027347800441358225
