,stability_rho
timeDuration,1.0
nMovements,1.0
movementsDifficulty,0.9474984737706582
robotSpeech,0.9658605629000541
acrobaticMovements,0.8640410043989422
movementsRepetition,0.905513287030721
movementsTransitionsDuration,1.0
humanMovements,0.9726884503200433
balance,0.9861324950943693
speed,0.8877111754947087
bodyPartsCombination,0.9219134224241221
musicBPM,1.0
sameStartEndPositionPlace,0.9861324950943693
headMovement,1.0
armsMovement,0.9547089186342161
handsMovement,1.0
legsMovement,0.9633630126474783
feetMovement,1.0
musicGenre_electronic,0.9453235837905364
musicGenre_folk,0.9491524820126873
musicGenre_indie,0.9339774708226475
musicGenre_latin,0.9261977273603621
musicGenre_pop,0.9861324950943693
musicGenre_rap,0.9339774708226475
musicGenre_rock,0.9491524820126873
