,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap
timeDuration,0.10788148280573609,0.10552409765332296,0.10831536489974264,0.10403933768564523,0.1064439497003126,0.1202787974181749,0.10640408805218121,0.11761862081305673,0.10810879286941157,0.10166426498876094,0.1097808497455001,0.08074712791046348,0.10382802077870155,0.10822026985140372
nMovements,0.26279464798349284,0.26037075170356955,0.2588582486023585,0.2768176623909505,0.2648042692305356,0.23232679795140415,0.2609580338228546,0.27580761409746873,0.2595966768050409,0.2879817785524783,0.26274313534661875,0.2581524526503306,0.24811626458635427,0.2652834862411285
movementsDifficulty,0.005048529428036649,0.004461902642281582,0.004822955254942011,0.005460353640871261,0.00484731724691764,0.006194265711183247,0.004899802550795263,0.005402543968964494,0.004983981842743142,0.004615924022392456,0.005002276470514909,0.0043170506924287335,0.004410815274006569,0.005057285628638287
robotSpeech,0.00463110591364826,0.003935339635218648,0.004472464623025167,0.004672928570256343,0.004342319969398768,0.006611256083346609,0.00462083228449643,0.0034809159095447375,0.004459927305881119,0.004988765685967836,0.00448735079514048,0.00479500511325829,0.003801395979785128,0.004656429365166517
acrobaticMovements,0.008568135761513159,0.006884243264692016,0.007748736487994313,0.010455242323547557,0.008352611789726454,0.0073709218957967665,0.008556467810573894,0.005659726797430488,0.008305071668929508,0.008042139886923353,0.007971928730640563,0.011845711501598076,0.009189687982740752,0.008093898023998123
movementsRepetition,0.008191781490183868,0.007645374203991633,0.008121287122966376,0.008002785942223098,0.008077647026934778,0.008350949588406851,0.007970318661530347,0.009305340284528008,0.007847135904311478,0.010407128714101696,0.00816095018090229,0.007368311371844277,0.007643152393032857,0.008190699113802744
movementsTransitionsDuration,0.04712554750343915,0.046127464205007546,0.04664208001712731,0.048235016867721414,0.04565955370505531,0.06299765433545379,0.04765685392973702,0.0403148069516061,0.047997437692443363,0.03735543606332341,0.04694545941158529,0.04705747779172169,0.044033074806096376,0.04754926982962629
humanMovements,0.007488239901266696,0.006952554241456125,0.0074339550924669,0.007242147289784009,0.007263672461890278,0.009040367829912693,0.007238245740758619,0.008890675052505815,0.007282468139241344,0.008444380139998172,0.007309491665416739,0.008404218814405874,0.006655332011114156,0.0075472649744127126
balance,0.0060509301534691275,0.006955795784423399,0.006297362606280089,0.005832021152061503,0.0062997402188282505,0.005046381183476711,0.006222798954219767,0.006048697557963328,0.006373920595949758,0.004662163911954167,0.006249368726523299,0.005704565647741635,0.007400614662376367,0.005962883796669581
speed,0.007240760186419439,0.01084433032043171,0.007925103839739116,0.007587260380244113,0.007733231784744132,0.009415679439986916,0.007979981850505923,0.006714272625843523,0.008074306899344056,0.005876393527003617,0.00782507241551969,0.00825109049435629,0.006573184751936424,0.008120708568020335
